;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:6:17:801;12:6:25:131;12:6:32:51;12:6:38:991;12:6:46:271;12:6:53:551;12:7:0:231;12:7:7:411;12:7:14:71;12:7:21:151;12:7:27:851;12:7:35:131;12:7:41:791;12:7:49:551;12:7:55:411;12:8:2:191;12:8:8:831;12:8:15:611;12:8:22:231;12:8:29:11;12:8:35:651;12:8:42:391;12:8:49:71;12:8:55:911;12:9:2:631;12:9:9:391;12:9:16:31;12:9:22:991;12:9:29:691;12:9:36:511;12:9:43:151;12:9:49:911;12:9:56:591;12:10:3:331;12:10:9:991;12:10:16:811;12:10:23:471;12:10:30:271;12:10:36:931;12:10:43:771;12:10:50:411;12:10:57:651;12:11:4:351;12:11:11:151;12:11:17:831;12:11:24:581;12:11:31:271;12:11:37:971;12:23:10:391
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1
0;170,0003;170,0002;170,0003;170,0003;170,0002;170,0002;170,0003;170,0002;170,0003;170,0002;170,0003;170,0002;170,0002;170,0002;170,0003;170,0003;170,0002;170,0003;170,0001;170,0002;170,0003;170,0002;170,0003;170,0003;170,0002;170,0002;170,0002;170,0002;170,0003;170,0003;170,0003;170,0003;170,0004;170,0003;170,0002;170,0002;170,0002;170,0001;170,0002;170,0001;170,0003;170,0003;170,0002;170,0002;170,0003;169,9999;170,0001;170,0002;169,9994
100000;171,3019;172,5881;172,5913;172,5922;172,5922;172,5935;172,5928;172,5932;172,5965;172,5973;172,4489;172,5985;172,4491;172,6001;172,5979;172,3039;172,5966;172,5954;172,5981;172,5992;172,5994;172,5994;172,5972;172,5968;172,5967;172,598;172,5974;172,5984;172,5961;172,6002;172,5979;172,5998;172,6029;172,5993;172,599;172,6001;172,6032;172,6031;172,6014;172,4501;172,5989;172,3065;172,3056;172,5982;172,5964;171,2953;172,5992;172,4517;172,6132
200000;202,0013;207,2445;207,2471;207,2469;207,2456;207,2468;207,2477;207,2467;207,2456;207,2449;206,7041;207,2489;206,7053;207,2477;207,249;206,1678;207,2459;207,2474;207,2474;207,2469;207,2463;207,2472;207,2466;207,2485;207,2477;207,2489;207,2479;207,2479;207,2461;207,2473;207,2494;207,2486;207,2488;207,247;207,2474;207,2493;207,2497;207,2482;207,2478;206,7032;207,247;206,1645;206,1661;207,2479;207,248;202,0022;207,2456;206,7045;207,2593
300000;260,4076;266,3328;266,3313;266,3327;266,3336;266,3345;266,3349;266,3333;266,3325;266,3328;265,7453;266,3287;265,7401;266,3306;266,3303;265,1553;266,3315;266,3322;266,3291;266,3313;266,3291;266,3278;266,3313;266,3329;266,3328;266,3339;266,333;266,3308;266,3324;266,3329;266,3309;266,3294;266,3298;266,3328;266,3349;266,3346;266,3326;266,3317;266,3313;265,7446;266,3311;265,1554;265,1557;266,3343;266,3376;260,3978;266,3335;265,7459;266,3317
400000;302,6055;304,6919;304,6888;304,6879;304,6876;304,6852;304,6869;304,6874;304,6881;304,6863;304,4937;304,6853;304,4953;304,6859;304,6852;304,2955;304,6849;304,6838;304,6843;304,6849;304,6861;304,6854;304,6838;304,6837;304,6836;304,6845;304,6829;304,6832;304,682;304,6834;304,6822;304,682;304,6824;304,6825;304,682;304,6803;304,6802;304,6809;304,6791;304,4882;304,6814;304,2936;304,2918;304,6784;304,6761;302,5948;304,6793;304,4844;304,6819
500000;309,4099;309,4556;309,4524;309,4513;309,4502;309,4492;309,4492;309,4484;309,4482;309,4481;309,4433;309,4489;309,4469;309,4494;309,4507;309,4402;309,4516;309,4495;309,4506;309,4509;309,4502;309,4499;309,4524;309,4524;309,4509;309,4513;309,4518;309,4527;309,4526;309,4511;309,4514;309,4509;309,4512;309,4511;309,4526;309,4522;309,4544;309,4519;309,4533;309,4481;309,4528;309,4422;309,4414;309,4519;309,4529;309,3903;309,4529;309,4485;309,4499
600000;309,7789;309,8049;309,8049;309,8035;309,802;309,8016;309,8011;309,8006;309,8005;309,8007;309,7964;309,8001;309,7948;309,7988;309,7963;309,7914;309,7969;309,7961;309,7953;309,7963;309,7979;309,7955;309,7962;309,7956;309,7951;309,7956;309,7943;309,7939;309,7929;309,7927;309,7942;309,7913;309,7905;309,7931;309,7926;309,7935;309,7944;309,7928;309,7926;309,7911;309,7927;309,7887;309,7883;309,7938;309,7937;309,7675;309,793;309,7909;309,7937
700000;309,9322;309,9376;309,9369;309,9365;309,9354;309,9355;309,9349;309,9348;309,9345;309,9347;309,9331;309,935;309,9326;309,9351;309,9337;309,9314;309,9335;309,9322;309,9315;309,9326;309,9332;309,9334;309,9337;309,9332;309,9331;309,9324;309,9318;309,9318;309,9335;309,9318;309,9317;309,9314;309,9319;309,9344;309,9316;309,9316;309,9308;309,9313;309,9308;309,9296;309,9315;309,929;309,9302;309,9306;309,9297;309,9221;309,9311;309,93;309,933
800000;309,9756;309,9769;309,9754;309,9747;309,9747;309,9749;309,9752;309,9752;309,9755;309,9754;309,9757;309,9751;309,9746;309,9755;309,9757;309,9752;309,9742;309,9769;309,9757;309,9759;309,9753;309,9751;309,9757;309,9752;309,9755;309,9737;309,9739;309,9757;309,9744;309,9745;309,9746;309,9752;309,9754;309,9749;309,9744;309,9747;309,9739;309,9744;309,9741;309,9734;309,9733;309,9746;309,9751;309,9742;309,9746;309,9739;309,9744;309,9744;309,9745
