;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E1: Kraft in N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:31:16:405;12:31:25:375;12:31:33:815;12:31:41:875;12:31:50:155;12:31:58:415;12:32:6:875;12:32:15:35;12:32:23:275;12:32:31:875;12:32:40:35;12:32:48:275;12:32:56:455;12:33:4:715;12:33:13:315;12:33:21:535;12:33:30:275;12:33:38:855;12:33:47:35;12:33:55:395;12:34:3:555;12:34:11:815;12:34:20:475;12:34:28:615;12:34:37:355;12:34:45:715;12:34:53:875;12:35:2:175;12:35:10:275;12:35:18:515;12:35:27:255;12:35:35:395;12:35:43:715;12:35:51:895;12:36:0:75;12:36:8:455;12:36:16:635;12:36:25:355;12:36:33:915;12:36:42:15;12:36:50:275;12:36:58:955;12:37:7:195;12:37:15:675;12:37:23:855;12:37:32:595;12:37:41:235;12:37:49:395;12:37:57:775;12:38:5:955;12:38:14:175;12:38:22:995;12:38:31:175;12:38:39:395;12:38:47:935;12:38:56:555;12:39:4:815;12:39:13:555;12:39:21:515;12:39:30:255;12:39:38:375;12:39:46:635;12:39:55:175;12:40:3:315;12:40:11:595;12:40:28:495;12:40:37:35;12:40:45:175;12:40:53:495;12:41:1:895;12:41:10:115;12:41:18:335;12:41:26:535;12:41:34:475;12:41:43:695;12:41:51:895;12:42:0:155;12:42:8:475;12:42:16:635;12:42:24:995;12:42:33:135;12:42:41:315;12:42:57:735;12:43:6:555;12:43:14:795;12:43:23:55;12:43:31:955;12:43:40:115;12:43:48:355;12:43:56:755;12:44:4:895;12:44:13:715;12:44:21:915;12:44:30:135;12:44:38:855;12:44:47:15;12:44:55:355;12:45:3:635;12:45:11:815;12:45:20:635;12:45:28:815;12:45:36:975;12:45:46:175;12:45:54:315;12:46:2:555;12:46:10:935;12:46:19:55;12:46:27:855;12:46:36:35;12:46:44:275;12:46:52:935;12:47:1:135;12:47:9:355;12:47:18:215;12:47:25:635;12:47:34:355;12:47:42:535;12:47:50:735;12:47:59:215;12:48:7:395;12:48:16:175;12:48:24:235;12:48:32:395;12:48:40:955;12:48:49:75;12:48:57:375;12:49:5:795;12:49:13:975;12:49:22:195;12:49:30:315;12:49:39:15;12:49:48:325;12:49:56:475;12:50:4:785;12:50:13:595;12:50:21:815;12:50:30:155;12:50:38:835;12:50:47:15;12:50:55:515;12:51:3:655;12:51:12:495;12:51:21:55;12:51:29:235;12:51:37:575;12:51:45:755;12:51:53:955;12:52:2:895;12:52:11:115;12:52:19:855;12:52:36:35;12:52:44:795;12:52:52:935;12:53:1:275;12:53:9:895;12:53:18:55;12:53:26:335;12:53:34:595;12:53:42:775;12:53:51:15;12:53:59:135;12:54:7:335;12:54:16:495;12:54:24:675;12:54:32:935;12:54:41:175;12:54:49:355;12:54:57:795;12:55:5:935;12:55:14:195;12:55:22:675;12:55:30:855;12:55:39:115;12:55:47:275;12:55:55:955;12:56:4:615;12:56:12:795;12:56:21:575;12:56:29:955;12:56:38:95;12:56:46:895;12:56:55:595;12:57:3:775;12:57:12:275;12:57:20:435;12:57:28:695;12:57:36:975;12:57:45:135;12:57:53:415;12:58:1:555;12:58:9:815;12:58:25:975;12:58:34:215;12:58:42:875;12:58:51:575;12:59:0:395;12:59:8:575;12:59:16:775;12:59:25:235;12:59:33:375
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;-58,693306;-58,90893;-58,952057;-59,038307;-58,82268;-58,779556;-59,038307;-58,865807;-58,865807;-58,90893;-58,865807;-58,995182;-58,995182;-58,82268;-58,952057;-59,038307;-58,779556;-58,90893;-59,081432;-58,952057;-58,82268;-58,865807;-58,90893;-58,952057;-58,865807;-58,65018;-58,952057;-58,693306;-58,952057;-59,124557;-58,865807;-58,952057;-58,65018;-58,952057;-58,73643;-59,038307;-58,779556;-58,90893;-58,952057;-59,124557;-58,995182;-58,90893;-58,952057;-58,82268;-58,995182;-58,952057;-58,995182;-58,995182;-58,90893;-58,90893;-58,865807;-58,995182;-58,952057;-58,90893;-58,90893;-58,90893;-58,865807;-58,90893;-59,038307;-58,90893;-58,865807;-58,865807;-58,952057;-58,82268;-58,90893;-58,90893;-58,952057;-58,90893;-58,82268;-58,952057;-58,865807;-58,90893;-58,995182;-58,952057;-58,952057;-58,952057;-58,865807;-58,865807;-58,865807;-58,865807;-58,82268;-58,865807;-58,952057;-58,90893;-58,865807;-58,90893;-58,865807;-58,952057;-58,90893;-58,865807;-58,865807;-58,90893;-58,90893;-58,865807;-58,90893;-58,90893;-58,90893;-58,865807;-58,90893;-58,90893;-58,865807;-58,865807;-58,865807;-58,90893;-58,865807;-58,82268;-58,90893;-58,90893;-58,90893;-58,952057;-58,82268;-58,90893;-58,865807;-58,90893;-58,995182;-58,90893;-58,90893;-58,90893;-58,865807;-58,865807;-58,90893;-58,90893;-58,82268;-58,90893;-58,90893;-58,952057;-58,952057;-58,90893;-58,90893;-58,90893;-58,952057;-58,90893;-58,90893;-58,865807;-58,952057;-58,995182;-58,82268;-58,90893;-58,90893;-58,90893;-58,952057;-58,952057;-58,90893;-58,90893;-58,952057;-58,995182;-58,865807;-58,952057;-58,90893;-58,865807;-58,90893;-58,90893;-58,82268;-58,90893;-58,952057;-58,90893;-58,952057;-58,952057;-58,865807;-58,82268;-58,865807;-58,865807;-58,865807;-58,90893;-58,952057;-58,952057;-58,82268;-58,995182;-58,865807;-58,995182;-58,865807;-58,952057;-58,865807;-58,90893;-58,865807;-58,82268;-58,952057;-58,90893;-58,90893;-58,90893;-58,865807;-59,081432;-58,995182;-58,865807;-58,952057;-58,90893;-58,82268;-58,90893;-58,995182;-58,865807;-58,952057;-59,081432;-58,865807;-58,952057;-58,865807;-58,82268;-58,82268;-58,779556;-58,90893;-59,081432
100000;-58,348305;-58,90893;-58,90893;-59,038307;-58,865807;-58,779556;-58,995182;-58,865807;-58,865807;-58,865807;-58,865807;-58,995182;-58,995182;-58,779556;-58,90893;-58,995182;-58,73643;-58,865807;-58,995182;-58,90893;-58,73643;-58,865807;-58,865807;-58,952057;-58,865807;-58,65018;-58,952057;-58,65018;-58,90893;-59,081432;-58,865807;-58,90893;-58,607056;-58,90893;-58,73643;-58,995182;-58,73643;-58,865807;-58,952057;-59,167683;-58,952057;-58,90893;-58,952057;-58,779556;-58,952057;-58,995182;-59,038307;-58,995182;-58,90893;-58,995182;-58,865807;-58,952057;-58,995182;-58,90893;-58,952057;-58,90893;-58,90893;-58,952057;-58,995182;-58,865807;-58,865807;-58,865807;-58,995182;-58,90893;-58,952057;-58,952057;-58,952057;-58,952057;-58,865807;-58,952057;-58,90893;-58,952057;-58,995182;-58,952057;-58,90893;-58,995182;-58,865807;-58,90893;-58,90893;-58,90893;-58,865807;-58,90893;-59,038307;-58,952057;-58,952057;-58,90893;-58,90893;-58,952057;-58,952057;-58,90893;-58,952057;-58,952057;-58,90893;-58,90893;-58,90893;-58,90893;-58,865807;-58,90893;-58,865807;-58,90893;-58,952057;-58,865807;-58,952057;-58,865807;-58,952057;-58,90893;-58,90893;-58,865807;-58,90893;-58,90893;-58,952057;-58,865807;-58,865807;-58,90893;-58,90893;-58,90893;-58,90893;-58,952057;-58,865807;-58,865807;-58,82268;-58,82268;-58,90893;-58,82268;-58,82268;-58,865807;-58,995182;-58,82268;-58,82268;-58,865807;-58,865807;-58,607056;-58,82268;-58,73643;-58,865807;-58,865807;-58,82268;-58,82268;-58,865807;-58,995182;-58,865807;-58,90893;-58,865807;-58,865807;-58,82268;-58,82268;-58,82268;-58,82268;-58,995182;-58,995182;-58,779556;-58,82268;-58,90893;-58,82268;-58,865807;-58,865807;-58,82268;-58,865807;-58,90893;-58,952057;-58,952057;-58,90893;-58,952057;-58,90893;-58,865807;-58,90893;-58,90893;-58,865807;-58,90893;-58,779556;-58,90893;-58,865807;-58,779556;-58,90893;-58,90893;-58,779556;-58,90893;-58,90893;-58,82268;-58,90893;-58,82268;-58,995182;-58,90893;-58,865807;-58,952057;-58,865807;-58,82268;-58,995182;-58,865807;-58,90893;-58,90893;-59,038307;-58,65018;-58,90893;-58,865807;-58,952057;-58,82268;-58,82268;-58,952057;-59,081432
200000;-56,148926;-59,340183;-59,081432;-59,857685;-58,90893;-59,29706;-59,98706;-59,253933;-59,081432;-59,72831;-59,081432;-59,210808;-59,29706;-59,512684;-59,29706;-59,426434;-59,124557;-59,55581;-59,038307;-59,253933;-58,779556;-59,81456;-58,995182;-58,995182;-59,90081;-59,038307;-59,29706;-58,65018;-59,210808;-59,210808;-58,90893;-59,038307;-58,348305;-59,55581;-59,72831;-59,55581;-59,038307;-59,210808;-60,15956;-60,202686;-59,64206;-59,72831;-59,857685;-59,81456;-59,685184;-59,943935;-60,030186;-60,116436;-59,598934;-60,418312;-60,33206;-60,030186;-60,15956;-60,030186;-60,24581;-59,81456;-60,33206;-60,116436;-60,504562;-60,849564;-59,81456;-59,38331;-60,418312;-60,116436;-60,590813;-59,90081;-60,80644;-60,33206;-60,116436;-60,418312;-60,07331;-60,288937;-60,15956;-60,375187;-60,07331;-60,504562;-59,943935;-60,375187;-60,24581;-60,72019;-60,547688;-60,24581;-60,418312;-60,547688;-60,24581;-59,943935;-60,288937;-60,418312;-59,943935;-60,547688;-60,116436;-60,07331;-59,55581;-60,24581;-60,288937;-60,07331;-59,55581;-60,288937;-60,288937;-60,030186;-59,72831;-60,504562;-60,677063;-60,202686;-60,288937;-60,24581;-60,763313;-60,288937;-60,24581;-60,24581;-60,030186;-60,633938;-60,461437;-60,547688;-60,590813;-60,849564;-60,547688;-60,375187;-60,202686;-60,461437;-60,935814;-60,418312;-60,375187;-60,80644;-60,375187;-60,677063;-60,33206;-60,461437;-60,418312;-60,677063;-60,504562;-59,55581;-60,72019;-60,15956;-60,763313;-60,677063;-60,89269;-60,633938;-60,97894;-60,547688;-61,022064;-61,23769;-61,280815;-61,022064;-60,89269;-60,97894;-60,80644;-60,590813;-60,80644;-60,461437;-60,89269;-60,80644;-60,763313;-61,108315;-61,108315;-60,116436;-60,72019;-60,461437;-60,202686;-60,633938;-60,849564;-60,849564;-60,97894;-60,849564;-60,418312;-60,33206;-60,461437;-60,504562;-60,202686;-59,81456;-60,633938;-60,763313;-59,857685;-60,116436;-59,98706;-60,288937;-60,15956;-60,116436;-60,15956;-60,288937;-60,116436;-60,375187;-60,288937;-61,15144;-59,64206;-60,547688;-60,288937;-60,72019;-60,33206;-59,98706;-60,07331;-60,504562;-60,15956;-59,598934;-60,24581;-60,33206;-59,81456;-60,202686;-59,685184;-60,590813
300000;-52,224537;-59,253933;-60,418312;-60,849564;-60,677063;-62,100193;-63,393948;-61,06519;-62,962696;-63,868324;-63,17832;-63,782074;-63,609573;-64,8602;-64,47208;-63,695824;-64,90333;-64,213326;-63,6527;-64,8602;-63,9977;-64,94645;-65,11895;-64,81708;-64,73083;-64,98958;-65,07583;-65,0327;-65,63645;-65,0327;-65,46395;-65,07583;-65,8952;-64,98958;-65,42083;-65,0327;-64,8602;-64,5152;-64,64458;-64,42895;-64,6877;-64,90333;-64,5152;-64,1702;-64,81708;-64,25645;-64,385826;-65,11895;-64,8602;-64,127075;-63,954575;-64,42895;-64,90333;-64,127075;-64,60145;-63,868324;-63,609573;-64,1702;-64,040825;-63,868324;-64,60145;-64,127075;-63,695824;-64,213326;-63,17832;-63,437073;-63,8252;-64,5152;-63,8252;-64,08395;-64,47208;-64,25645;-63,9977;-64,127075;-64,385826;-64,040825;-64,08395;-63,91145;-63,9977;-63,609573;-63,73895;-64,213326;-63,868324;-64,299576;-63,6527;-64,55833;-64,299576;-64,3427;-63,9977;-64,42895;-64,42895;-64,5152;-64,3427;-64,42895;-64,040825;-63,17832;-64,1702;-64,385826;-63,73895;-64,1702;-63,9977;-63,350822;-63,00582;-63,307697;-63,695824;-63,695824;-63,782074;-63,393948;-63,868324;-63,73895;-63,91145;-62,91957;-63,954575;-63,048946;-63,350822;-63,048946;-63,17832;-63,437073;-63,393948;-63,00582;-62,91957;-63,048946;-63,17832;-62,703945;-62,57457;-63,048946;-63,523323;-63,17832;-62,83332;-62,57457;-62,962696;-64,299576;-63,048946;-64,77395;-62,91957;-63,17832;-62,358944;-61,927692;-62,74707;-62,962696;-62,790195;-61,841442;-61,66894;-62,962696;-62,876446;-62,74707;-62,31582;-62,40207;-62,617695;-63,048946;-62,445194;-63,350822;-62,48832;-62,358944;-62,962696;-63,868324;-61,798317;-63,307697;-62,57457;-62,962696;-63,437073;-62,66082;-62,617695;-62,272694;-63,393948;-62,74707;-63,00582;-62,962696;-63,135197;-62,74707;-62,876446;-62,531445;-63,00582;-61,15144;-62,617695;-62,100193;-62,100193;-61,41019;-61,453316;-61,66894;-62,48832;-61,06519;-61,06519;-61,927692;-60,763313;-59,685184;-59,340183;-60,504562;-60,461437;-60,80644;-58,73643;-60,97894;-59,55581;-60,547688;-59,685184;-58,003304;-60,15956;-60,633938;-59,943935;-59,167683
400000;-49,80953;-51,66391;-51,75016;-51,534534;-51,965786;-52,74204;-55,200172;-53,690792;-54,812046;-58,003304;-57,01143;-55,84705;-58,39143;-62,790195;-61,75519;-60,24581;-64,42895;-64,08395;-63,307697;-63,8252;-62,358944;-68,31021;-67,232086;-65,76583;-69,603966;-68,31021;-69,647095;-69,00021;-73,31273;-71,630844;-71,45834;-72,62273;-73,01085;-74,951485;-76,20211;-75,42586;-76,54711;-75,42586;-78,056496;-77,970245;-77,06461;-77,495865;-77,711494;-78,35837;-78,01337;-77,92712;-78,48775;-79,0915;-78,70337;-78,44462;-78,78962;-78,48775;-78,229;-78,7465;-78,61712;-77,668365;-77,970245;-78,44462;-78,18587;-75,59836;-77,668365;-77,28024;-77,582115;-75,46899;-74,43398;-75,90024;-72,450226;-76,33149;-75,85711;-75,98649;-76,11586;-75,38274;-75,296486;-75,68461;-75,037735;-74,994606;-74,822105;-72,62273;-73,6146;-72,450226;-73,83023;-73,87335;-73,39898;-73,7871;-70,89772;-72,96773;-73,22648;-72,79523;-72,018974;-72,2346;-71,67397;-71,803345;-71,717094;-72,105225;-71,84647;-67,36146;-71,76022;-71,02709;-70,94084;-70,07835;-69,733345;-69,647095;-65,63645;-67,18896;-69,345215;-69,12959;-68,78459;-66,54208;-68,43959;-67,96521;-67,74959;-64,77395;-66,887085;-66,498955;-66,843956;-65,8952;-66,19708;-65,85208;-65,24833;-65,11895;-64,94645;-63,437073;-64,6877;-64,127075;-63,221447;-63,8252;-63,048946;-62,22957;-62,91957;-62,48832;-62,703945;-80,169624;-62,013943;-78,35837;-61,841442;-61,23769;-60,763313;-58,607056;-61,108315;-60,763313;-60,849564;-57,140804;-57,27018;-59,253933;-59,210808;-59,685184;-60,202686;-58,865807;-59,55581;-58,82268;-59,038307;-59,124557;-57,873928;-58,779556;-58,39143;-58,348305;-55,7608;-57,140804;-55,50205;-58,39143;-56,882053;-56,882053;-56,882053;-56,4508;-57,01143;-57,35643;-57,09768;-55,890175;-56,580177;-56,968304;-57,35643;-57,140804;-56,537052;-54,51017;-56,580177;-55,890175;-55,631424;-55,84705;-54,553295;-55,717674;-54,122044;-54,16517;-54,16517;-54,380795;-52,526413;-51,707035;-53,647667;-50,844532;-54,16517;-55,157047;-48,386402;-52,138287;-50,15453;-50,930782;-52,526413;-48,688274;-51,793285;-49,938904;-51,189533;-50,025154
