;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:31:16:405;12:31:25:375;12:31:33:815;12:31:41:875;12:31:50:155;12:31:58:415;12:32:6:875;12:32:15:35;12:32:23:275;12:32:31:875;12:32:40:35;12:32:48:275;12:32:56:455;12:33:4:715;12:33:13:315;12:33:21:535;12:33:30:275;12:33:38:855;12:33:47:35;12:33:55:395;12:34:3:555;12:34:11:815;12:34:20:475;12:34:28:615;12:34:37:355;12:34:45:715;12:34:53:875;12:35:2:175;12:35:10:275;12:35:18:515;12:35:27:255;12:35:35:395;12:35:43:715;12:35:51:895;12:36:0:75;12:36:8:455;12:36:16:635;12:36:25:355;12:36:33:915;12:36:42:15;12:36:50:275;12:36:58:955;12:37:7:195;12:37:15:675;12:37:23:855;12:37:32:595;12:37:41:235;12:37:49:395;12:37:57:775;12:38:5:955;12:38:14:175;12:38:22:995;12:38:31:175;12:38:39:395;12:38:47:935;12:38:56:555;12:39:4:815;12:39:13:555;12:39:21:515;12:39:30:255;12:39:38:375;12:39:46:635;12:39:55:175;12:40:3:315;12:40:11:595;12:40:28:495;12:40:37:35;12:40:45:175;12:40:53:495;12:41:1:895;12:41:10:115;12:41:18:335;12:41:26:535;12:41:34:475;12:41:43:695;12:41:51:895;12:42:0:155;12:42:8:475;12:42:16:635;12:42:24:995;12:42:33:135;12:42:41:315;12:42:57:735;12:43:6:555;12:43:14:795;12:43:23:55;12:43:31:955;12:43:40:115;12:43:48:355;12:43:56:755;12:44:4:895;12:44:13:715;12:44:21:915;12:44:30:135;12:44:38:855;12:44:47:15;12:44:55:355;12:45:3:635;12:45:11:815;12:45:20:635;12:45:28:815;12:45:36:975;12:45:46:175;12:45:54:315;12:46:2:555;12:46:10:935;12:46:19:55;12:46:27:855;12:46:36:35;12:46:44:275;12:46:52:935;12:47:1:135;12:47:9:355;12:47:18:215;12:47:25:635;12:47:34:355;12:47:42:535;12:47:50:735;12:47:59:215;12:48:7:395;12:48:16:175;12:48:24:235;12:48:32:395;12:48:40:955;12:48:49:75;12:48:57:375;12:49:5:795;12:49:13:975;12:49:22:195;12:49:30:315;12:49:39:15;12:49:48:325;12:49:56:475;12:50:4:785;12:50:13:595;12:50:21:815;12:50:30:155;12:50:38:835;12:50:47:15;12:50:55:515;12:51:3:655;12:51:12:495;12:51:21:55;12:51:29:235;12:51:37:575;12:51:45:755;12:51:53:955;12:52:2:895;12:52:11:115;12:52:19:855;12:52:36:35;12:52:44:795;12:52:52:935;12:53:1:275;12:53:9:895;12:53:18:55;12:53:26:335;12:53:34:595;12:53:42:775;12:53:51:15;12:53:59:135;12:54:7:335;12:54:16:495;12:54:24:675;12:54:32:935;12:54:41:175;12:54:49:355;12:54:57:795;12:55:5:935;12:55:14:195;12:55:22:675;12:55:30:855;12:55:39:115;12:55:47:275;12:55:55:955;12:56:4:615;12:56:12:795;12:56:21:575;12:56:29:955;12:56:38:95;12:56:46:895;12:56:55:595;12:57:3:775;12:57:12:275;12:57:20:435;12:57:28:695;12:57:36:975;12:57:45:135;12:57:53:415;12:58:1:555;12:58:9:815;12:58:25:975;12:58:34:215;12:58:42:875;12:58:51:575;12:59:0:395;12:59:8:575;12:59:16:775;12:59:25:235;12:59:33:375
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;170,0;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9998;169,9999;169,9999;169,9998;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;170,0001;169,9999;169,9999;169,9999;170,0001;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;170,0;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;170,0;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;170,0;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9998;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999;169,9999
100000;172,4537;171,3116;171,3027;171,2987;171,2971;171,2982;171,1881;171,2987;171,2985;171,0833;171,3011;171,3002;171,2998;171,0847;171,192;171,2994;171,1903;171,1901;171,2997;171,2999;171,3001;171,1899;171,2995;171,1899;171,0854;171,3001;171,2998;171,3026;171,3008;171,2994;171,3006;171,3013;171,3008;171,3005;171,3013;171,3009;171,3013;171,3023;171,1921;171,1895;171,3004;171,301;171,3019;171,3004;171,3003;171,3004;171,3021;171,1916;171,301;171,1904;171,3038;171,3022;171,19;171,3017;171,3016;171,3018;171,3027;171,3033;171,3015;171,0848;171,3027;171,301;171,3013;171,19;171,0853;171,303;170,9846;171,3008;171,3004;171,3036;171,2997;171,2989;171,3024;171,3021;171,3015;171,2996;171,3003;171,1903;171,3009;171,1894;171,2994;171,3009;171,3018;171,3004;171,1897;171,3015;171,3028;171,3004;171,3025;171,3002;171,2997;171,2995;171,3011;171,3008;171,3019;171,0839;171,3019;171,2988;171,2993;171,3018;171,3012;171,3013;171,0817;171,1896;171,3014;171,2985;171,301;171,1894;171,3004;171,3013;171,3019;171,1937;171,2988;171,3027;171,3023;171,3034;171,3015;171,3016;171,3029;171,3006;171,3015;171,3028;171,3025;171,3025;171,3008;171,3021;171,3018;171,3023;171,3019;171,3012;171,3011;172,6003;171,3004;172,4537;171,3007;171,3;171,3;171,1903;171,3003;171,3008;171,3012;171,1882;171,1898;171,298;171,3012;171,2988;171,2981;171,2969;171,2978;171,2978;171,2976;171,2961;171,2992;171,2981;171,2971;171,2973;171,1876;171,2975;171,1884;171,2974;171,2986;171,2976;171,2978;171,3007;171,3009;171,2965;171,2989;171,2999;171,2981;171,2996;171,2974;171,2973;171,3002;171,1901;171,2993;171,2987;171,2965;171,2978;171,2975;171,2979;171,2979;171,2983;171,3;171,2973;171,1902;171,1881;171,1898;171,1902;171,2984;171,3012;171,0801;171,3007;171,1895;171,2976;171,2971;171,0826;171,3004;171,3001;171,2988;171,3007
200000;206,7127;201,9995;201,9989;202,0005;201,9979;201,9995;201,4982;201,9984;201,9999;200,9991;201,9995;201,9989;201,9991;200,9989;201,4978;202,0;201,498;201,4978;201,9997;201,9977;201,9982;201,4973;201,9974;201,4959;200,9995;201,998;201,9989;201,9998;201,9999;201,9983;201,9989;202,0006;201,9985;201,9989;202,0007;202,0014;202,0007;202,0003;201,4995;201,4981;201,9999;202,0003;202,0008;202,0002;201,9994;202,0015;202,0021;201,4985;201,9997;201,501;202,0018;202,0011;201,499;202,0019;202,0019;202,0018;202,0032;202,003;202,0016;201,0021;202,0013;202,0011;202,0022;201,4996;201,0032;202,0032;200,5074;202,0033;202,0031;202,0028;202,0011;202,0011;202,0008;202,0021;202,0019;202,0019;202,0012;201,4994;202,0021;201,4996;202,0014;202,0015;202,0014;202,0008;201,4999;202,0017;202,0031;202,0008;202,0015;202,0029;202,0016;202,0014;201,9996;202,0026;202,0028;201,0017;202,0016;202,0003;202,0;202,0009;202,0017;202,0025;201,0004;201,4985;202,0025;202,0019;202,0025;201,4996;202,0016;202,0027;202,0029;201,5024;202,0027;202,0037;202,0047;202,0051;202,0042;202,0019;202,0026;202,0014;202,0044;202,0047;202,0024;202,0043;202,0024;202,0037;202,0035;202,0019;202,0029;202,0029;202,0031;207,2516;202,0023;206,7095;202,0049;202,0023;202,0049;201,5019;202,0033;202,0039;202,0049;201,5013;201,5031;202,0022;202,0037;202,0027;202,0021;202,0021;202,001;202,0007;202,0023;202,0002;202,0021;202,0008;202,0011;202,0002;201,4999;202,0007;201,4964;202,0009;202,0006;202,0012;202,0008;202,0032;202,0013;202,0006;202,0009;201,9997;201,9996;201,9994;201,9994;202,0018;202,0011;201,4981;202,0003;201,9993;202,0004;202,0009;201,9984;201,9995;201,9997;202,0007;202,0008;202,0022;201,4986;201,4992;201,4981;201,4987;202,0013;202,0009;200,9982;202,0017;201,4975;201,9995;202,0016;201,0011;202,0009;201,9998;202,0013;202,0006
300000;265,7495;260,4056;260,4049;260,4063;260,4045;260,4039;259,8094;260,4029;260,4068;259,2149;260,4069;260,4087;260,4084;259,2166;259,8123;260,4058;259,8106;259,8088;260,4077;260,4095;260,4109;259,8124;260,4086;259,8122;259,2137;260,4088;260,4084;260,4089;260,4098;260,4098;260,4082;260,4108;260,4103;260,4062;260,4068;260,4069;260,4064;260,4081;259,8098;259,8113;260,4074;260,4087;260,4087;260,4073;260,4082;260,4059;260,4059;259,81;260,4088;259,8086;260,4067;260,4075;259,8095;260,4049;260,4047;260,4042;260,4039;260,4044;260,4051;259,2095;260,4079;260,4059;260,4052;259,808;259,2099;260,405;258,6135;260,4057;260,4044;260,4059;260,4058;260,4053;260,4042;260,4035;260,4042;260,4029;260,4039;259,8073;260,4053;259,808;260,4055;260,4052;260,4037;260,4043;259,8059;260,4044;260,4029;260,4045;260,4059;260,4059;260,4045;260,4031;260,4033;260,4033;260,4019;259,2075;260,4022;260,4027;260,4029;260,4042;260,4034;260,4003;259,2091;259,8029;260,4009;260,4017;260,402;259,8069;260,4028;260,4035;260,4038;259,8053;260,4013;260,4001;260,3997;260,3995;260,4014;260,4021;260,4013;260,4007;260,4002;260,4005;260,3999;260,4006;260,3965;260,4018;260,4001;260,4021;260,4018;260,3996;260,4013;266,344;260,4;265,7554;260,3995;260,4037;260,3999;259,8068;260,4018;260,4009;260,4036;259,8049;259,8058;260,4017;260,4026;260,4014;260,3987;260,4018;260,4012;260,4016;260,4013;260,4025;260,3992;260,3981;260,3981;260,4034;259,8039;260,4003;259,8046;260,3999;260,4031;260,3991;260,3971;260,3968;260,3999;260,4006;260,3997;260,3999;260,4008;260,402;260,3995;260,3986;260,4007;259,8004;260,3947;260,3976;260,4;260,3981;260,3957;260,3973;260,3993;260,3963;260,3996;260,3936;259,8028;259,7973;259,8003;259,7987;260,3943;260,3959;259,2023;260,3915;259,7954;260,3939;260,3912;259,1975;260,3944;260,395;260,3959;260,389
400000;304,4973;302,5976;302,5962;302,5947;302,5947;302,5958;302,3696;302,5967;302,6009;302,1433;302,6036;302,6029;302,6085;302,1499;302,3827;302,6086;302,3859;302,3844;302,6131;302,6163;302,6144;302,3901;302,6189;302,3875;302,1575;302,6197;302,6203;302,6198;302,6212;302,6198;302,6209;302,6211;302,6222;302,6205;302,6217;302,6206;302,6202;302,6209;302,3889;302,3898;302,6196;302,6183;302,6186;302,6179;302,6168;302,6172;302,6165;302,3853;302,6168;302,3839;302,6141;302,6126;302,3818;302,6128;302,6145;302,6128;302,6123;302,6125;302,6108;302,1441;302,6108;302,6094;302,6088;302,3782;302,1432;302,6067;301,9049;302,6061;302,6078;302,6064;302,6077;302,6062;302,6078;302,6059;302,6043;302,6048;302,6062;302,3728;302,6039;302,373;302,6025;302,6033;302,6036;302,6035;302,3714;302,6023;302,6026;302,6029;302,6012;302,6012;302,6011;302,6011;302,6022;302,6009;302,6004;302,135;302,6011;302,6002;302,5994;302,5986;302,6003;302,5998;302,1332;302,3684;302,5984;302,5988;302,5975;302,3662;302,5969;302,5969;302,5963;302,365;302,5975;302,597;302,5967;302,5959;302,5946;302,5948;302,5946;302,5943;302,5931;302,5934;302,5932;302,5933;302,5931;302,5913;302,5921;302,5911;302,593;302,5896;302,5904;304,7003;302,5891;304,5055;302,5887;302,5885;302,5886;302,3558;302,5883;302,5883;302,5871;302,3554;302,3547;302,5871;302,5866;302,5872;302,5894;302,5872;302,5888;302,5881;302,5879;302,5878;302,5879;302,5874;302,5889;302,5891;302,3561;302,5888;302,358;302,5885;302,5888;302,5891;302,5893;302,5866;302,5871;302,5877;302,588;302,5879;302,5874;302,5884;302,5889;302,5884;302,5882;302,3577;302,5899;302,5879;302,5862;302,5866;302,589;302,5864;302,5862;302,5869;302,5852;302,586;302,3534;302,3546;302,3562;302,3528;302,5881;302,5882;302,117;302,5859;302,3524;302,5839;302,5851;302,1159;302,584;302,5825;302,5835;302,5837
