;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;16:37:36:58;16:37:44:668;16:37:51:968;16:37:59:668;16:38:7:868;16:38:15:528;16:38:23:328;16:38:31:28;16:38:38:748;16:38:46:468;16:38:54:188;16:39:2:408;16:39:10:48;16:39:17:828;16:39:25:968;16:39:33:728;16:39:41:528;16:39:48:788;16:39:56:928;16:40:4:688;16:40:12:938;16:40:20:688;16:40:28:388;16:40:36:488;16:40:44:128;16:40:51:988;16:40:59:688;16:41:7:538;16:41:15:168;16:41:22:908;16:41:30:928;16:41:38:628;16:41:46:868;16:41:54:548;16:42:2:308;16:42:10:8;16:42:17:728;16:42:25:868;16:42:33:608;16:42:41:348;16:42:49:8;16:42:56:768;16:43:4:508;16:43:12:228;16:43:20:518;16:43:28:248;16:43:36:28;16:43:43:728;16:43:50:988;16:43:58:668
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
0;153,0006;152,9999;152,9999;152,9999;152,9999;153,0001;152,9999;153,0;152,9999;152,9999;152,9999;152,9999;153,0001;152,9999;152,9999;152,9999;153,0001;153,0;153,0;153,0;153,0;153,0;153,0;152,9999;153,0;152,9999;152,9999;153,0001;152,9999;152,9999;153,0;153,0001;152,9999;153,0;152,9999;153,0;152,9999;152,9999;152,9999;153,0;152,9999;152,9999;153,0;153,0001;152,9999;153,0001;153,0;153,0;152,9999;152,9999
100000;154,3534;155,6224;155,6177;155,6204;155,6181;155,6207;155,6181;155,6171;155,6185;155,4704;155,6189;155,6179;155,6189;155,4749;155,4723;155,4728;155,6173;155,6176;155,6175;155,6178;154,3343;155,6195;155,6208;155,6209;155,6191;155,6197;155,6225;154,3359;155,6285;155,4785;155,6197;155,6211;155,4751;155,6213;155,4761;155,3359;155,6359;155,6378;155,6316;155,6311;155,6283;155,6259;155,6271;155,6259;154,2251;155,4783;155,3362;155,6211;155,6224;155,6184
200000;185,0193;190,2599;190,2588;190,257;190,2538;190,2523;190,2533;190,2556;190,2554;189,7142;190,2552;190,2542;190,2551;189,7103;189,7111;189,7116;190,2528;190,2514;190,2527;190,2555;185,0117;190,2575;190,2556;190,254;190,2544;190,2551;190,2565;185,0095;190,2584;189,7118;190,2536;190,2547;189,7118;190,253;189,7114;189,1748;190,2565;190,2587;190,2551;190,2591;190,2571;190,2568;190,2538;190,2562;184,5133;189,7122;189,1739;190,2571;190,2543;190,2537
300000;243,3947;249,3629;249,3639;249,3649;249,3661;249,3653;249,3664;249,3665;249,3669;248,7703;249,3639;249,3661;249,3643;248,7705;248,7683;248,7689;249,3658;249,3651;249,3668;249,3666;243,3888;249,3666;249,3635;249,3619;249,3643;249,3627;249,3639;243,3889;249,3666;248,7645;249,3616;249,3613;248,7645;249,3618;248,7638;248,1661;249,3637;249,3569;249,3602;249,3576;249,3575;249,3609;249,3561;249,3601;242,7949;248,7619;248,1652;249,3587;249,3601;249,3609
400000;299,305;303,3228;303,3237;303,3245;303,3256;303,3266;303,3268;303,3249;303,3249;302,9421;303,3259;303,3268;303,3266;302,9425;302,9429;302,9438;303,3263;303,3281;303,3274;303,3259;299,304;303,3259;303,3275;303,3276;303,3278;303,3277;303,3286;299,3018;303,3268;302,9439;303,3273;303,3281;302,9438;303,3269;302,9432;302,5556;303,3184;303,32;303,3221;303,3208;303,3216;303,3223;303,3238;303,324;298,8729;302,9406;302,5519;303,3232;303,3228;303,3244
500000;321,974;322,0758;322,0752;322,0753;322,0731;322,0743;322,0723;322,0702;322,0739;322,0709;322,0739;322,0729;322,0771;322,0729;322,0761;322,0749;322,0784;322,0799;322,0788;322,0771;321,9688;322,0792;322,0832;322,0822;322,0839;322,0847;322,0821;321,9703;322,0827;322,0826;322,0844;322,0852;322,0806;322,0832;322,0835;322,0831;322,0862;322,0884;322,0869;322,0884;322,0864;322,0855;322,0856;322,0816;321,9403;322,0809;322,0776;322,0839;322,0845;322,0846
600000;322,6127;322,6569;322,6569;322,6584;322,6587;322,6575;322,6588;322,6586;322,6595;322,6531;322,6571;322,6587;322,6563;322,6541;322,6531;322,6526;322,6577;322,6566;322,6563;322,6578;322,6099;322,6575;322,6562;322,6568;322,6567;322,6568;322,6565;322,61;322,6561;322,6512;322,6562;322,6574;322,6519;322,6567;322,6524;322,6468;322,6582;322,6551;322,6583;322,6578;322,6581;322,6582;322,6577;322,6584;322,6041;322,6534;322,6478;322,6579;322,6571;322,6579
700000;322,8659;322,8777;322,8772;322,8762;322,8759;322,8764;322,8759;322,8763;322,8764;322,8742;322,8767;322,8772;322,8764;322,8752;322,8756;322,8757;322,8775;322,8753;322,8774;322,8771;322,8645;322,8767;322,8763;322,8757;322,8767;322,8773;322,8769;322,8647;322,8768;322,876;322,8769;322,8763;322,8757;322,8773;322,8751;322,8751;322,8773;322,8779;322,8782;322,8779;322,8765;322,8779;322,8779;322,8781;322,8643;322,8764;322,8751;322,8766;322,8756;322,8771
800000;322,9446;322,9497;322,9497;322,9494;322,9494;322,9496;322,9488;322,9494;322,9493;322,948;322,9491;322,9495;322,949;322,9485;322,9491;322,9483;322,9493;322,9487;322,9496;322,9489;322,9439;322,9487;322,9486;322,949;322,9491;322,9496;322,9492;322,9439;322,9506;322,9489;322,9496;322,949;322,9485;322,9492;322,9483;322,9484;322,9494;322,9495;322,9501;322,9498;322,9489;322,9498;322,9502;322,9502;322,9441;322,9491;322,9482;322,9496;322,9484;322,9498
900000;322,9783;322,9804;322,9802;322,9793;322,9792;322,9796;322,9799;322,9797;322,9793;322,9789;322,9799;322,9792;322,9792;322,9793;322,9795;322,9791;322,9797;322,9786;322,9794;322,9793;322,9769;322,9793;322,9795;322,9789;322,9795;322,9797;322,9795;322,9769;322,9794;322,9791;322,9794;322,9789;322,9787;322,9797;322,9786;322,9786;322,9791;322,9799;322,9797;322,9795;322,9791;322,979;322,9791;322,9794;322,9769;322,9785;322,9787;322,9799;322,9793;322,9794
