;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E1: Kraft in N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:25:58:816;13:26:7:46;13:26:15:166;13:26:23:106;13:26:39:206;13:26:46:806;13:26:54:606;13:27:2:406;13:27:10:226;13:27:17:986;13:27:25:726;13:27:33:466;13:27:49:226;13:27:56:986;13:28:4:746;13:28:12:676;13:28:20:486;13:28:28:166;13:28:36:406;13:28:44:306;13:28:52:66;13:28:59:706;13:29:7:506;13:29:15:366;13:29:23:66;13:29:31:466;13:29:39:146;13:29:46:906;13:29:54:566;13:30:2:266;13:30:10:266;13:30:17:926;13:30:25:886;13:30:33:546;13:30:41:306;13:30:48:986;13:30:56:746;13:31:4:866;13:31:12:566;13:31:20:346;13:31:28:46;13:31:35:866;13:31:43:576;13:31:51:346;13:31:59:526;13:32:7:166;13:32:14:966;13:32:22:86;13:32:29:846;13:32:37:566;13:32:45:236;13:32:53:376;13:33:1:86;13:33:8:926;13:33:16:566;13:33:24:376;13:33:32:566;13:33:39:686;13:33:48:506;13:33:56:176;13:34:3:986;13:34:12:166;13:34:19:946;13:34:27:966;13:34:35:666;13:34:43:986;13:34:51:626;13:34:59:386;13:35:7:186;13:35:14:986;13:35:30:976;13:35:38:746;13:35:46:406;13:35:54:186;13:36:1:966;13:36:9:666;13:36:17:786;13:36:25:446;13:36:33:226;13:36:40:886;13:36:48:626;13:36:56:486;13:37:4:146;13:37:12:186;13:37:19:866;13:37:27:686;13:37:35:306;13:37:43:46;13:37:50:906;13:37:58:726;13:38:6:726;13:38:13:806;13:38:21:546;13:38:29:266;13:38:37:26;13:38:44:906;13:38:52:636;13:39:1:106;13:39:8:736;13:39:16:536;13:39:24:336;13:39:32:206;13:39:40:286;13:39:47:966;13:39:56:246;13:40:4:6;13:40:11:806;13:40:19:706;13:40:27:426;13:40:35:566;13:40:43:306;13:40:51:76;13:40:58:716;13:41:6:586;13:41:14:446;13:41:22:166;13:41:30:196;13:41:37:876;13:41:45:636;13:41:53:336;13:42:1:496;13:42:9:536;13:42:17:686;13:42:25:526;13:42:33:216
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125
0;-59,038307;-58,693306;-58,693306;-58,952057;-58,82268;-58,90893;-58,995182;-58,779556;-58,90893;-58,995182;-58,952057;-58,952057;-58,952057;-58,865807;-59,124557;-59,124557;-58,693306;-58,952057;-58,995182;-58,952057;-58,82268;-58,865807;-58,952057;-58,952057;-58,90893;-58,82268;-58,82268;-59,081432;-58,90893;-58,779556;-59,038307;-58,952057;-59,038307;-59,038307;-59,081432;-59,081432;-58,865807;-58,82268;-58,952057;-58,952057;-59,210808;-58,90893;-59,29706;-59,038307;-58,82268;-59,038307;-58,779556;-58,995182;-59,081432;-58,865807;-59,038307;-59,081432;-58,82268;-58,90893;-58,865807;-58,952057;-58,90893;-58,865807;-58,952057;-59,038307;-58,82268;-58,995182;-58,865807;-58,952057;-59,210808;-58,952057;-59,038307;-58,90893;-58,995182;-59,038307;-59,081432;-59,038307;-58,952057;-58,865807;-58,952057;-58,995182;-58,952057;-59,167683;-59,081432;-58,865807;-58,73643;-58,952057;-59,124557;-58,779556;-58,82268;-58,865807;-59,038307;-58,90893;-59,081432;-59,038307;-58,82268;-58,865807;-58,82268;-58,90893;-58,865807;-58,73643;-59,124557;-58,779556;-59,340183;-58,995182;-58,952057;-58,865807;-58,82268;-58,82268;-58,995182;-58,779556;-58,693306;-58,82268;-58,865807;-58,779556;-59,038307;-58,82268;-58,90893;-59,038307;-59,038307;-58,73643;-59,038307;-59,081432;-59,253933;-58,952057;-58,90893;-59,253933;-58,995182;-58,865807;-58,90893
100000;-58,779556;-58,39143;-58,520805;-58,348305;-58,434555;-58,30518;-58,434555;-58,65018;-58,607056;-58,21893;-58,39143;-58,04643;-58,30518;-58,39143;-58,175804;-58,693306;-58,348305;-58,262054;-58,434555;-58,520805;-58,21893;-58,73643;-58,348305;-58,348305;-58,607056;-58,607056;-58,39143;-58,262054;-58,434555;-58,47768;-58,21893;-58,47768;-58,262054;-58,39143;-58,21893;-58,30518;-58,348305;-58,262054;-58,348305;-58,434555;-58,21893;-58,348305;-58,520805;-58,30518;-58,262054;-58,348305;-58,65018;-58,348305;-58,434555;-58,348305;-58,73643;-58,693306;-58,47768;-58,47768;-58,39143;-58,779556;-58,607056;-58,348305;-58,13268;-58,693306;-58,434555;-58,30518;-58,607056;-58,13268;-58,348305;-58,520805;-58,39143;-58,73643;-58,39143;-58,348305;-58,73643;-58,348305;-58,65018;-58,39143;-58,175804;-58,30518;-58,13268;-58,348305;-58,262054;-58,607056;-58,47768;-58,30518;-58,434555;-58,30518;-58,434555;-58,434555;-58,39143;-58,39143;-58,21893;-58,348305;-58,47768;-58,520805;-58,607056;-58,520805;-58,56393;-58,56393;-58,693306;-58,65018;-58,56393;-58,73643;-58,82268;-58,693306;-58,47768;-58,39143;-58,520805;-58,693306;-58,56393;-58,434555;-58,693306;-58,73643;-58,30518;-58,90893;-58,73643;-58,47768;-58,30518;-58,65018;-58,779556;-58,73643;-58,607056;-58,90893;-58,82268;-58,520805;-58,39143;-58,262054;-58,73643
200000;-56,882053;-58,348305;-58,21893;-58,73643;-58,952057;-58,262054;-58,693306;-58,693306;-58,779556;-58,607056;-58,04643;-58,348305;-58,56393;-58,779556;-57,917053;-55,631424;-58,607056;-58,21893;-58,13268;-57,4858;-57,528927;-57,01143;-57,442677;-57,830803;-56,83893;-58,21893;-58,13268;-57,399555;-57,917053;-57,701427;-58,04643;-57,873928;-57,787678;-58,003304;-58,13268;-56,83893;-57,4858;-57,442677;-57,787678;-58,348305;-57,572052;-57,701427;-55,372673;-57,917053;-57,873928;-57,96018;-57,140804;-57,701427;-57,399555;-57,227055;-55,070797;-54,812046;-57,917053;-57,4858;-57,4858;-54,812046;-57,27018;-57,615177;-57,442677;-54,76892;-57,442677;-57,701427;-56,92518;-57,442677;-57,399555;-57,701427;-57,658302;-56,666428;-57,873928;-57,658302;-55,113922;-57,528927;-58,089554;-57,917053;-58,175804;-57,4858;-57,658302;-57,227055;-57,658302;-58,175804;-57,873928;-58,13268;-57,917053;-58,089554;-57,873928;-57,27018;-58,30518;-57,658302;-57,4858;-58,003304;-57,4858;-57,399555;-58,56393;-58,30518;-57,787678;-57,399555;-54,94142;-57,744553;-55,070797;-55,070797;-55,02767;-57,227055;-57,27018;-58,04643;-58,21893;-57,873928;-57,873928;-58,003304;-57,615177;-57,442677;-57,442677;-54,467045;-54,898296;-57,658302;-57,873928;-58,003304;-54,812046;-54,812046;-55,243298;-54,59642;-54,898296;-55,02767;-57,615177;-57,96018;-55,286423
300000;-60,07331;-59,38331;-59,771435;-60,590813;-60,24581;-60,15956;-60,33206;-60,633938;-60,590813;-61,022064;-61,108315;-59,81456;-60,935814;-60,72019;-61,15144;-61,625816;-61,453316;-61,32394;-61,453316;-61,970818;-60,72019;-61,66894;-61,32394;-61,841442;-62,272694;-61,15144;-61,15144;-61,712067;-61,108315;-61,194565;-61,841442;-61,23769;-61,841442;-61,280815;-61,884567;-61,75519;-61,66894;-61,66894;-61,841442;-61,712067;-61,539566;-62,272694;-61,539566;-61,841442;-61,367065;-61,280815;-61,970818;-61,712067;-62,445194;-61,884567;-61,06519;-61,539566;-61,367065;-61,841442;-62,057068;-62,100193;-62,31582;-61,41019;-61,625816;-61,75519;-61,32394;-61,539566;-62,057068;-61,970818;-62,100193;-61,798317;-61,841442;-62,445194;-61,23769;-62,013943;-61,66894;-61,884567;-61,539566;-61,41019;-61,539566;-61,75519;-61,539566;-62,66082;-61,884567;-61,66894;-61,884567;-62,013943;-62,22957;-61,280815;-61,841442;-61,453316;-61,41019;-62,100193;-61,798317;-61,841442;-62,100193;-61,66894;-61,841442;-61,798317;-61,927692;-61,625816;-61,75519;-61,712067;-61,453316;-61,58269;-61,66894;-62,22957;-61,66894;-61,539566;-61,625816;-62,100193;-61,712067;-61,66894;-61,798317;-61,884567;-62,14332;-61,75519;-61,280815;-62,358944;-61,884567;-61,625816;-61,798317;-61,712067;-61,49644;-60,97894;-61,58269;-61,41019;-62,31582;-61,58269;-61,280815
400000;-61,712067;-62,48832;-62,57457;-62,57457;-62,66082;-62,057068;-62,14332;-62,57457;-62,14332;-61,927692;-62,358944;-62,31582;-62,100193;-62,617695;-62,31582;-61,32394;-62,272694;-61,798317;-61,712067;-62,40207;-61,970818;-62,100193;-61,884567;-61,625816;-62,57457;-62,013943;-61,75519;-62,22957;-61,927692;-62,100193;-61,841442;-62,100193;-62,057068;-61,884567;-61,75519;-62,22957;-61,927692;-61,798317;-61,58269;-61,49644;-62,186443;-62,14332;-61,23769;-61,841442;-61,884567;-61,798317;-62,272694;-61,367065;-61,712067;-62,013943;-60,849564;-61,194565;-61,58269;-61,927692;-61,884567;-61,539566;-62,22957;-61,75519;-61,32394;-61,453316;-61,712067;-61,970818;-62,057068;-61,798317;-61,884567;-61,58269;-61,884567;-62,531445;-62,013943;-61,927692;-61,884567;-61,49644;-61,23769;-61,970818;-61,49644;-61,75519;-61,841442;-61,75519;-61,712067;-61,49644;-61,884567;-61,798317;-62,100193;-61,539566;-61,58269;-62,057068;-61,712067;-61,32394;-61,58269;-61,625816;-61,49644;-61,970818;-61,66894;-61,970818;-61,32394;-61,927692;-61,625816;-61,712067;-61,798317;-61,970818;-61,539566;-62,013943;-61,625816;-61,66894;-61,58269;-61,32394;-61,712067;-61,841442;-61,927692;-62,445194;-61,884567;-61,712067;-62,272694;-61,798317;-61,927692;-61,539566;-62,14332;-61,798317;-62,057068;-61,841442;-61,884567;-61,798317;-61,66894;-61,41019;-62,013943
