;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:25:58:816;13:26:7:46;13:26:15:166;13:26:23:106;13:26:39:206;13:26:46:806;13:26:54:606;13:27:2:406;13:27:10:226;13:27:17:986;13:27:25:726;13:27:33:466;13:27:49:226;13:27:56:986;13:28:4:746;13:28:12:676;13:28:20:486;13:28:28:166;13:28:36:406;13:28:44:306;13:28:52:66;13:28:59:706;13:29:7:506;13:29:15:366;13:29:23:66;13:29:31:466;13:29:39:146;13:29:46:906;13:29:54:566;13:30:2:266;13:30:10:266;13:30:17:926;13:30:25:886;13:30:33:546;13:30:41:306;13:30:48:986;13:30:56:746;13:31:4:866;13:31:12:566;13:31:20:346;13:31:28:46;13:31:35:866;13:31:43:576;13:31:51:346;13:31:59:526;13:32:7:166;13:32:14:966;13:32:22:86;13:32:29:846;13:32:37:566;13:32:45:236;13:32:53:376;13:33:1:86;13:33:8:926;13:33:16:566;13:33:24:376;13:33:32:566;13:33:39:686;13:33:48:506;13:33:56:176;13:34:3:986;13:34:12:166;13:34:19:946;13:34:27:966;13:34:35:666;13:34:43:986;13:34:51:626;13:34:59:386;13:35:7:186;13:35:14:986;13:35:30:976;13:35:38:746;13:35:46:406;13:35:54:186;13:36:1:966;13:36:9:666;13:36:17:786;13:36:25:446;13:36:33:226;13:36:40:886;13:36:48:626;13:36:56:486;13:37:4:146;13:37:12:186;13:37:19:866;13:37:27:686;13:37:35:306;13:37:43:46;13:37:50:906;13:37:58:726;13:38:6:726;13:38:13:806;13:38:21:546;13:38:29:266;13:38:37:26;13:38:44:906;13:38:52:636;13:39:1:106;13:39:8:736;13:39:16:536;13:39:24:336;13:39:32:206;13:39:40:286;13:39:47:966;13:39:56:246;13:40:4:6;13:40:11:806;13:40:19:706;13:40:27:426;13:40:35:566;13:40:43:306;13:40:51:76;13:40:58:716;13:41:6:586;13:41:14:446;13:41:22:166;13:41:30:196;13:41:37:876;13:41:45:636;13:41:53:336;13:42:1:496;13:42:9:536;13:42:17:686;13:42:25:526;13:42:33:216
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125
0;153,0005;152,9999;152,9999;152,9999;153,0;152,9999;152,9999;153,0;152,9998;152,9999;153,0001;152,9999;152,9999;153,0001;152,9999;152,9999;153,0001;152,9999;152,9999;152,9999;153,0001;152,9999;153,0;152,9999;153,0001;153,0;152,9999;152,9999;152,9999;153,0;152,9998;152,9999;153,0001;152,9999;152,9999;152,9999;152,9999;153,0;153,0;153,0;152,9998;153,0;153,0001;153,0001;152,9999;152,9999;152,9999;153,0;153,0;152,9999;153,0;153,0001;153,0001;153,0;152,9999;152,9999;153,0001;153,0;153,0001;153,0001;152,9999;153,0001;153,0;152,9999;153,0;152,9999;152,9999;153,0;153,0;153,0001;152,9999;153,0;152,9999;153,0001;153,0;153,0001;152,9999;152,9999;153,0001;153,0;152,9999;152,9999;153,0;152,9999;152,9999;153,0001;153,0001;152,9999;152,9999;152,9999;152,9999;153,0;153,0;152,9999;152,9999;153,0001;152,9999;153,0;152,9999;153,0002;153,0;153,0;153,0001;153,0001;153,0001;152,9999;152,9999;152,9999;152,9999;153,0001;153,0;153,0;153,0001;153,0;152,9999;152,9999;153,0;153,0;153,0001;152,9999;152,9999;153,0;153,0;152,9999;153,0001
100000;154,3659;155,6479;155,6374;155,6391;155,6381;155,637;155,632;155,6315;155,6301;155,6307;155,624;155,6289;155,6228;155,6254;155,6242;154,3257;155,6176;155,6152;155,6145;155,4667;155,4719;155,4702;155,6169;155,6128;155,321;155,6177;155,6136;155,6117;155,6131;155,4657;155,6115;155,6099;155,6168;155,6138;155,6149;155,3291;155,6145;155,6147;155,6151;155,6109;155,6116;155,6127;154,3229;155,6161;155,6188;155,6195;155,4699;155,6203;155,3287;155,6136;154,0996;154,3204;155,6144;155,4667;155,6136;154,3201;155,4704;155,6153;155,6133;154,3225;155,6209;155,4667;155,3254;155,4679;155,6161;155,6197;155,6133;155,3221;155,6207;155,6152;154,3156;155,6168;155,6159;155,6178;155,6158;155,6184;155,6164;155,4718;155,6159;155,6182;155,6159;155,6165;155,4689;155,6177;155,6195;155,4734;155,6157;155,6174;155,6168;155,6149;155,6159;155,4715;155,6201;155,6193;155,6197;155,6192;154,3264;155,6192;154,3255;154,3221;154,3241;155,3294;155,3276;155,6153;155,6213;155,6179;155,6129;155,6193;155,6156;155,4713;155,4701;154,318;154,3259;155,6149;155,4753;155,6203;154,3258;154,3238;154,2177;154,2099;154,3257;154,3235;155,4721;155,6181;154,2135
200000;185,0364;190,2719;190,2673;190,2678;190,2672;190,2675;190,2654;190,266;190,2648;190,26;190,2574;190,2631;190,2586;190,26;190,2563;185,0139;190,2569;190,2566;190,2571;189,7118;189,7171;189,7147;190,2565;190,2522;189,1692;190,2573;190,2539;190,2546;190,2572;189,7137;190,2529;190,2544;190,2554;190,2567;190,2531;189,1749;190,2559;190,2578;190,2555;190,2541;190,2531;190,2558;185,0142;190,2549;190,2554;190,2564;189,7137;190,2549;189,1729;190,2527;184,0104;185,0119;190,2569;189,7128;190,2549;185,013;189,7147;190,2569;190,2559;185,0135;190,2582;189,7103;189,1737;189,7118;190,2567;190,2578;190,2561;189,1729;190,2585;190,2551;185,0091;190,2562;190,2584;190,2543;190,2559;190,2548;190,2553;189,7134;190,2554;190,2577;190,258;190,2558;189,7116;190,2547;190,2557;189,7139;190,2552;190,2564;190,2552;190,2571;190,2571;189,7142;190,2597;190,2586;190,2559;190,2576;185,0155;190,2573;185,0139;185,0154;185,0139;189,1764;189,1734;190,2573;190,2589;190,2565;190,2538;190,2562;190,2552;189,7128;189,7118;185,0105;185,0164;190,2567;189,7137;190,2582;185,0151;185,0142;184,5126;184,509;185,0147;185,0144;189,7136;190,2563;184,5141
300000;243,4012;249,3598;249,3597;249,3606;249,3624;249,3613;249,3627;249,3604;249,3633;249,3619;249,3618;249,3631;249,3639;249,3647;249,3641;243,3913;249,3633;249,3639;249,3633;248,7639;248,7664;248,7639;249,3651;249,3644;248,1686;249,3642;249,3636;249,3633;249,364;248,7658;249,3628;249,3644;249,3638;249,3665;249,3647;248,1716;249,3641;249,3647;249,3633;249,3634;249,3627;249,3626;243,3912;249,3641;249,3628;249,3641;248,7658;249,3645;248,1697;249,3652;242,1954;243,3908;249,3652;248,7669;249,3633;243,3892;248,7656;249,3634;249,365;243,3903;249,3659;248,7687;248,1688;248,7673;249,3662;249,3639;249,3637;248,1682;249,3646;249,3647;243,3875;249,3666;249,3659;249,3647;249,3677;249,3641;249,3649;248,7672;249,3647;249,3659;249,3648;249,3652;248,7674;249,3665;249,3649;248,7699;249,3658;249,3668;249,3652;249,3659;249,3639;248,7667;249,3649;249,366;249,3655;249,3657;243,3903;249,3644;243,3934;243,3908;243,3902;248,1695;248,171;249,3678;249,3652;249,3658;249,3629;249,3676;249,3653;248,7678;248,7686;243,3884;243,3908;249,3649;248,7689;249,3629;243,3919;243,3897;242,7945;242,7904;243,3908;243,3897;248,7686;249,3655;242,7919
400000;299,2906;303,3101;303,3121;303,3113;303,3118;303,3131;303,3123;303,3134;303,3128;303,3153;303,3165;303,3139;303,3147;303,315;303,3163;299,2946;303,3181;303,3166;303,3163;302,9347;302,9316;302,9341;303,317;303,3185;302,5459;303,3159;303,3179;303,3173;303,3172;302,933;303,3181;303,3168;303,3189;303,3162;303,3192;302,5453;303,3188;303,3177;303,3181;303,3184;303,3189;303,3187;299,2948;303,3189;303,3191;303,319;302,9356;303,3192;302,5457;303,3189;298,4404;299,2964;303,317;302,935;303,3202;299,2972;302,9349;303,3185;303,3173;299,2968;303,3181;302,9336;302,5469;302,9358;303,32;303,3172;303,3194;302,5468;303,3187;303,3204;299,2979;303,3187;303,3169;303,3197;303,3176;303,3194;303,3195;302,936;303,3199;303,3179;303,3201;303,3191;302,9357;303,3187;303,3199;302,9346;303,3179;303,3203;303,3199;303,3183;303,3197;302,9368;303,3201;303,3189;303,3206;303,3192;299,2969;303,3196;299,2971;299,2971;299,2972;302,5484;302,5465;303,3197;303,3197;303,3201;303,3211;303,3202;303,3181;302,9359;302,9363;299,2974;299,2981;303,3202;302,9358;303,3205;299,298;299,2979;298,8725;298,8729;299,2984;299,2964;302,9364;303,3193;298,8734
