;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Geschwindigkeit in mm/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:22:43:280;13:22:50:970;13:22:58:490;13:23:6:270;13:23:14:30;13:23:29:850;13:23:37:830;13:23:45:470;13:23:53:730;13:24:1:550;13:24:9:190;13:24:17:510;13:24:25:250;13:24:33:30;13:24:40:770;13:24:48:70;13:24:55:770;13:25:3:490;13:25:11:700;13:25:19:370;13:25:27:210;13:25:34:830;13:25:42:350;13:25:50:190;13:25:57:850;13:26:6:130;13:26:13:450;13:26:21:310;13:26:28:980;13:26:37:250;13:26:44:950;13:26:52:50;13:27:7:630;13:27:15:450;13:27:23:160;13:27:30:930;13:27:38:710;13:27:46:400;13:27:55:130;13:28:2:770;13:28:10:580;13:28:18:280;13:28:26:120;13:28:33:960;13:28:42:150;13:28:50:160;13:28:57:900;13:29:5:710;13:29:13:460;13:29:21:210;13:29:29:250;13:29:37:10;13:29:45:390;13:29:53:30;13:30:0:930;13:30:8:710;13:30:16:450;13:30:24:150;13:30:31:870;13:30:39:670;13:30:47:390;13:30:55:130;13:31:2:830;13:31:10:500;13:31:18:760;13:31:26:450;13:31:34:210;13:31:41:960;13:31:49:650;13:31:57:520;13:32:5:160;13:32:13:320;13:32:20:990;13:32:28:750;13:32:36:390;13:32:44:140;13:32:52:380;13:33:0:180;13:33:8:230;13:33:15:910;13:33:23:670;13:33:40:240;13:33:48:440;13:33:56:50;13:34:3:840;13:34:11:510;13:34:19:320;13:34:27:80;13:34:34:750;13:34:42:960;13:34:50:590;13:34:58:380;13:35:6:80;13:35:13:850;13:35:21:580;13:35:29:250;13:35:37:400;13:35:45:110;13:35:52:840;13:36:0:450;13:36:8:230;13:36:16:150;13:36:23:840;13:36:32:250;13:36:39:940;13:36:47:800;13:36:55:460;13:37:3:210;13:37:11:370;13:37:19:30;13:37:26:870;13:37:34:580;13:37:42:370;13:37:50:80;13:37:57:730;13:38:5:800;13:38:13:440;13:38:21:780;13:38:28:990;13:38:36:770;13:38:44:480;13:38:52:190;13:39:0:410;13:39:8:80;13:39:15:880;13:39:23:90;13:39:30:920;13:39:38:240;13:39:46:40;13:39:54:0;13:40:1:700;13:40:9:580;13:40:17:860;13:40:25:600;13:40:33:280;13:40:41:70;13:40:48:590;13:40:56:250;13:41:4:650;13:41:12:280;13:41:20:50;13:41:27:790;13:41:35:560;13:41:43:760;13:41:51:380;13:41:59:130;13:42:6:770;13:42:14:640;13:42:22:330;13:42:30:30;13:42:38:220;13:42:45:940;13:42:53:720;13:43:1:460;13:43:9:230;13:43:17:0;13:43:24:650;13:43:32:860;13:43:40:30;13:43:47:790;13:43:55:530;13:44:3:310;13:44:11:30;13:44:18:230;13:44:26:420;13:44:34:120;13:44:41:860;13:44:49:500;13:44:57:340;13:45:4:980;13:45:13:120;13:45:21:330;13:45:28:990;13:45:36:760;13:45:44:440;13:45:52:170;13:45:59:890;13:46:7:580;13:46:15:720;13:46:23:350;13:46:31:210;13:46:38:940;13:46:46:670;13:46:54:460;13:47:2:120;13:47:10:240;13:47:17:920;13:47:25:690;13:47:33:460;13:47:41:160;13:47:48:960;13:47:56:620;13:48:4:700;13:48:12:380;13:48:20:160;13:48:27:900;13:48:35:630;13:48:43:460;13:48:51:180;13:48:59:190
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;-0,0025238313;-0,001835372;6,60672E-4;-0,00678714;-0,0052548624;-0,0019726132;-0,005587592;-0,0040709283;-0,002692156;-3,815997E-4;-0,0021936765;-0,0026911239;0,0027917821;-0,003926739;2,2948091E-4;2,9796013E-4;-0,004273499;-2,3433368E-4;0,0024782987;7,873914E-4;-0,0021046726;0,0015017806;-4,0168574E-4;-0,0041397433;-0,0033935534;-0,0020505628;-0,007265324;0,0017281307;-0,0023376672;-0,0022674059;-0,004282994;-3,8804195E-4;-0,005192987;-0,004466818;-0,006350682;-0,0033017097;-0,010438319;-0,0043456913;-0,0034670539;-0,006993568;6,925891E-4;-0,005400323;-0,0066548483;0,0037794115;-0,0015700412;-0,007309406;0,0027183064;-0,0010137672;-0,003341587;-9,906301E-4;0,006382112;0,002845139;-0,006482532;0,0028154394;-5,1594654E-4;-0,0046186447;0,0016977508;0,0035121862;0,0013957797;-0,002351998;0,001576083;-0,0035859186;-8,548597E-4;-0,0068732817;-1,3228641E-4;-0,0054665487;-0,005942582;-0,002867893;-0,005968022;-0,009118009;-7,683331E-6;-0,0082582375;0,0035029217;1,4801117E-4;-0,0046437434;-0,0044270637;-0,0054440796;4,9096305E-4;0,005654182;-0,0039923186;-0,004580786;-2,3968727E-4;-0,0068795863;0,0046409997;-0,0029899392;-0,004721523;0,0017135121;-0,0045479;-0,002266738;-0,0018975765;-0,003322996;-0,0047140378;0,00430332;0,003938706;-0,011109701;-0,003096503;0,0052191075;-0,009784488;-0,0015361774;-0,0062506315;-0,0068957084;0,0050724954;-0,00528215;-0,005377225;-7,7764346E-4;-0,005725852;-0,0017792177;-0,0035410258;-0,0029652144;-0,0063591227;0,0011167097;-0,0035179597;-0,01151231;-0,005753058;-0,0015780128;-0,0023739033;-0,0032216406;0,0029927378;0,003177384;-0,004687033;-0,0010492314;-0,00431464;-0,0012454652;-0,0021659487;3,1075215E-5;8,477786E-5;1,6735234E-5;-0,002189102;-1,2150618E-4;-0,0039116764;-0,0031085764;2,8123794E-4;-0,005496759;9,0306136E-4;0,0018611465;0,0030570051;0,004350253;-0,0025235491;-0,0067473133;-0,0014191873;-0,0014305739;-0,0064651086;0,0033896302;-0,0050336192;-0,007751748;-0,01211727;-0,004433227;-0,0041436576;-0,0054076295;-0,0034490856;0,0043339557;-5,723232E-4;-0,0039396654;-0,004322987;-7,050583E-4;0,0035135893;-8,4340945E-4;-5,9910722E-5;-0,0034666955;0,0063296347;-0,008903894;-0,012536648;0,0024707762;-1,1508934E-4;0,0047052894;-0,008128984;0,0013102209;0,0021150943;-0,007981032;4,3108195E-4;0,00583906;-0,0019445957;0,0038884927;-0,00404083;-0,0025201757;-0,00153519;-0,0039687506;-0,003045534;-0,002860864;-0,008046222;0,004482393;2,028046E-4;-0,0027105638;0,0073942635;-0,007071974;-1,456632E-4;0,0027516065;-0,009120466;0,0066826814;-9,501219E-4;-0,0074252607;-0,0016754058;-8,709207E-4;-0,0017767204;0,0021548597;-0,0019409434;3,0415138E-4;3,4662837E-4;-0,0012962066;-0,003987163
100000;68,13521;100,112816;107,83594;107,91085;107,91815;103,9582;107,70097;107,77825;107,73954;107,71839;107,68792;107,51445;107,52987;107,41411;103,41294;107,33719;107,46001;107,38725;68,032364;107,3904;107,31639;107,31198;107,20293;107,38564;107,27952;107,361374;107,11169;103,28891;63,756157;103,22112;107,23381;107,168495;107,090576;103,18411;67,897934;107,05469;107,157745;67,90373;107,13289;107,2253;67,7061;67,752754;67,650406;68,022156;103,8667;59,926743;68,22785;103,67949;67,95462;107,559296;107,44987;107,486496;107,468475;107,32707;107,348694;107,25785;107,18823;107,23381;107,272705;107,24665;107,204796;107,17162;107,12217;67,843925;67,933464;107,05576;107,05666;67,864525;107,20512;67,757385;67,91365;67,87856;107,15111;107,10124;107,16916;67,77685;67,85872;68,01208;107,173485;107,12592;107,09701;67,866196;67,90987;107,14844;67,889984;107,08479;67,915474;67,88442;107,11656;67,988754;99,337395;67,730515;67,703606;107,18954;67,862885;103,15405;67,70056;103,15168;67,9013;107,16547;107,255905;107,12195;67,821526;107,03116;67,827;67,962265;67,93043;107,09138;107,06808;107,1155;107,160515;63,950317;107,124886;67,95915;103,22601;146,30516;67,88942;64,07894;107,09104;107,19743;67,99156;107,0923;107,18162;63,910572;63,928062;107,14938;67,95639;67,87594;64,098206;67,966156;67,967354;67,90712;67,92191;63,8998;67,896164;107,13655;107,099205;107,11978;107,118744;67,91713;103,20905;107,1601;67,72432;67,66773;67,88359;107,111534;99,17167;67,75254;107,09027;106,99897;67,94186;67,91348;67,909065;67,73649;107,11365;67,9434;107,06871;59,872612;107,05048;103,094826;107,02838;107,086;103,10889;106,96561;67,959175;67,90825;67,99184;67,886925;67,969345;67,86529;67,86078;107,09936;107,040764;67,94519;67,961136;107,07144;99,23991;67,96653;67,84878;107,05354;107,05864;59,85485;107,06313;67,918816;67,85059;67,96822;67,84716;107,0022;67,826324;67,88856;63,881878;67,9039;67,9049;67,90709;67,94268;67,95682;107,06001;67,9318;67,88805;107,00927
200000;461,3945;494,09393;502,24716;502,14108;502,08044;498,03314;502,13525;502,01068;501,89148;501,9777;501,9511;502,0808;501,73813;501,99493;497,66898;501,88196;501,96753;501,82086;461,1808;501,8456;501,7786;501,90942;501,93558;501,80566;501,98834;501,83527;502,0716;497,9459;457,05118;497,5089;501,6389;501,99637;501,74786;497,87888;461,07123;501,7241;501,8469;461,11563;501,77066;501,65967;461,11276;461,10065;461,2017;461,1296;497,90503;453,4692;461,42197;497,7827;461,35898;501,90344;502,03403;501,92117;502,00662;502,02533;501,83276;501,70718;501,87958;501,7291;501,6621;501,8686;501,94717;501,7952;501,82574;461,0933;460,9589;501,75717;501,688;461,0123;501,62476;461,205;461,14236;460,96405;502,00818;501,9706;501,82605;460,83783;460,8633;460,94925;501,74112;501,74625;501,87222;461,22342;461,1071;501,87646;460,9145;501,67148;460,91437;460,84344;501,5803;460,99747;493,3827;461,15646;461,20547;501,78372;461,0247;497,8952;460,81046;497,69424;460,72885;501,58;501,7623;501,72284;460,96204;501,8059;460,9119;460,84097;460,79718;501,68457;501,67865;501,5788;501,7344;456,9558;501,83118;460,85663;497,71164;542,8171;460,82944;456,85318;501,77;501,7389;460,82684;501,56448;501,7645;457,00537;456,92557;502,0371;460,66068;460,95923;456,6378;460,93872;460,83737;461,02246;461,08234;456,88464;460,92368;501,55054;501,7827;501,63495;501,46973;460,8651;497,45868;501,5492;461,0165;461,1893;460,80823;501,82138;493,63385;460,9875;501,76483;501,87238;460,82394;460,9854;461,01917;460,83945;501,60086;460,8074;501,56335;452,7674;501,88284;497,6448;501,71796;501,77786;497,67615;501,9441;460,67392;460,79913;460,67557;461,01523;460,76743;460,95428;460,82092;501,71408;501,79037;460,85233;460,74707;501,62152;493,30078;460,76425;460,82605;501,6992;501,59808;452,86658;501,85843;460,88696;460,7535;460,75784;460,98273;501,52158;460,83655;460,98978;456,871;460,8103;460,65973;460,61447;460,81073;460,74213;501,58417;460,92444;460,8229;501,6117
300000;594,92926;595,7964;596,06146;596,17694;596,03876;596,13196;596,1775;596,1178;596,13245;596,2069;596,0716;596,3014;596,17096;596,2874;596,1594;596,3889;596,4553;596,3123;594,94135;596,43866;596,4585;596,37286;596,503;596,32227;596,25275;596,29785;596,40436;596,31226;594,63;596,373;596,58075;596,37756;596,4701;596,2421;594,5702;596,3641;596,2472;594,7671;596,4171;596,42694;594,77313;594,76025;594,8318;594,77216;596,0854;594,64307;594,6142;596,1281;594,97986;596,265;596,3593;596,3602;596,47955;596,3708;596,49005;596,5704;596,39594;596,40375;596,4033;596,3857;596,2806;596,38617;596,2179;594,7485;594,7428;596,5826;596,5913;594,83264;596,4573;594,83014;594,63855;594,7589;596,4418;596,3368;596,43726;594,78827;594,6425;594,7849;596,41565;596,43317;596,43994;594,73303;594,6434;596,31067;594,8104;596,36957;594,6217;594,7638;596,5931;594,6578;596,1518;594,8159;594,6985;596,4419;594,85614;596,27893;594,87384;596,6334;594,69684;596,58813;596,46295;596,4541;594,7124;596,60785;594,61176;594,675;594,6887;596,57556;596,52936;596,5296;596,24426;594,5729;596,3937;594,79114;596,2829;597,0498;594,7355;594,5844;596,57983;596,45593;594,42914;596,56177;596,2799;594,32166;594,305;596,4811;594,6676;594,6624;594,4102;594,5781;594,5924;594,75977;594,8083;594,43097;594,77344;596,51196;596,72217;596,6142;596,75433;594,63696;596,44366;596,37933;594,6887;594,86426;594,6494;596,7239;596,4181;594,8158;596,482;596,47845;594,53375;594,5333;594,8114;594,7587;596,5889;594,7228;596,60785;594,3474;596,509;596,33777;596,5731;596,4334;596,27655;596,5599;594,6673;594,6486;594,6795;594,51135;594,65717;594,50244;594,48206;596,4396;596,50214;594,69745;594,65125;596,5581;596,29926;594,5063;594,6979;596,3848;596,58246;594,19763;596,44415;594,6071;594,8597;594,7395;594,90515;596,5917;594,7167;594,63873;594,4786;594,5703;594,6146;594,6567;594,6177;594,86896;596,6808;594,6434;594,622;596,5166
400000;464,72342;432,26852;424,31146;424,38522;424,37973;428,3312;424,33093;424,39893;424,44934;424,45145;424,40833;424,48602;424,4752;424,47083;428,66098;424,6016;424,45813;424,52722;464,7578;424,57822;424,59616;424,61227;424,50546;424,5847;424,47617;424,6033;424,57333;428,56125;468,92053;428,63358;424,65628;424,48914;424,57895;428,55466;464,73984;424,59085;424,619;464,93613;424,68283;424,74606;464,89914;464,91925;465,0319;464,909;428,574;472,60327;464,76038;428,6741;464,7928;424,64215;424,5891;424,63855;424,53015;424,5422;424,60486;424,68457;424,66873;424,67172;424,6699;424,6599;424,6506;424,73367;424,67224;464,9506;464,89624;424,57397;424,6275;464,83698;424,71262;464,8603;464,97644;464,9641;424,61783;424,61206;424,639;464,90613;465,0049;464,929;424,66028;424,64615;424,59613;464,78726;465,0074;424,66263;464,96216;424,6806;465,0211;464,97284;424,68723;464,86496;432,78116;464,96954;465,0153;424,56262;464,98227;428,68005;465,0579;428,7507;464,98206;424,60413;424,67575;424,68954;464,8917;424,6637;465,01468;464,98825;465,08472;424,69666;424,61404;424,64072;424,7555;468,8264;424,67685;464,9913;428,69446;383,99985;464,99368;468,8807;424,6391;424,62012;465,04272;424,7271;424,48035;469,00125;468,96945;424,56815;465,10455;465,078;469,03833;465,0141;465,0955;464,97388;464,91116;468,93582;465,01642;424,69193;424,6544;424,5909;424,73273;464,98538;428,7446;424,70334;465,13397;465,09903;465,1259;424,48828;432,72937;465,03415;424,55927;424,63644;465,0686;465,1443;465,01428;465,0876;424,74884;465,02286;424,65677;472,8571;424,61893;428,76663;424,66666;424,69293;428,75427;424,74588;465,2733;465,16937;465,28323;465,1569;465,10858;465,21124;465,27304;424,85666;424,8435;465,14096;465,11206;424,8191;433,0658;465,24478;465,07953;424,79932;424,84613;472,91092;424,80002;465,23932;465,09146;465,04153;465,01822;424,81458;465,09964;465,13998;468,9546;465,28342;465,24976;465,2604;465,17944;465,10275;424,82965;465,05823;465,17834;424,76288
