;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:31:16:405;12:31:25:375;12:31:33:815;12:31:41:875;12:31:50:155;12:31:58:415;12:32:6:875;12:32:15:35;12:32:23:275;12:32:31:875;12:32:40:35;12:32:48:275;12:32:56:455;12:33:4:715;12:33:13:315;12:33:21:535;12:33:30:275;12:33:38:855;12:33:47:35;12:33:55:395;12:34:3:555;12:34:11:815;12:34:20:475;12:34:28:615;12:34:37:355;12:34:45:715;12:34:53:875;12:35:2:175;12:35:10:275;12:35:18:515;12:35:27:255;12:35:35:395;12:35:43:715;12:35:51:895;12:36:0:75;12:36:8:455;12:36:16:635;12:36:25:355;12:36:33:915;12:36:42:15;12:36:50:275;12:36:58:955;12:37:7:195;12:37:15:675;12:37:23:855;12:37:32:595;12:37:41:235;12:37:49:395;12:37:57:775;12:38:5:955;12:38:14:175;12:38:22:995;12:38:31:175;12:38:39:395;12:38:47:935;12:38:56:555;12:39:4:815;12:39:13:555;12:39:21:515;12:39:30:255;12:39:38:375;12:39:46:635;12:39:55:175;12:40:3:315;12:40:11:595;12:40:28:495;12:40:37:35;12:40:45:175;12:40:53:495;12:41:1:895;12:41:10:115;12:41:18:335;12:41:26:535;12:41:34:475;12:41:43:695;12:41:51:895;12:42:0:155;12:42:8:475;12:42:16:635;12:42:24:995;12:42:33:135;12:42:41:315;12:42:57:735;12:43:6:555;12:43:14:795;12:43:23:55;12:43:31:955;12:43:40:115;12:43:48:355;12:43:56:755;12:44:4:895;12:44:13:715;12:44:21:915;12:44:30:135;12:44:38:855;12:44:47:15;12:44:55:355;12:45:3:635;12:45:11:815;12:45:20:635;12:45:28:815;12:45:36:975;12:45:46:175;12:45:54:315;12:46:2:555;12:46:10:935;12:46:19:55;12:46:27:855;12:46:36:35;12:46:44:275;12:46:52:935;12:47:1:135;12:47:9:355;12:47:18:215;12:47:25:635;12:47:34:355;12:47:42:535;12:47:50:735;12:47:59:215;12:48:7:395;12:48:16:175;12:48:24:235;12:48:32:395;12:48:40:955;12:48:49:75;12:48:57:375;12:49:5:795;12:49:13:975;12:49:22:195;12:49:30:315;12:49:39:15;12:49:48:325;12:49:56:475;12:50:4:785;12:50:13:595;12:50:21:815;12:50:30:155;12:50:38:835;12:50:47:15;12:50:55:515;12:51:3:655;12:51:12:495;12:51:21:55;12:51:29:235;12:51:37:575;12:51:45:755;12:51:53:955;12:52:2:895;12:52:11:115;12:52:19:855;12:52:36:35;12:52:44:795;12:52:52:935;12:53:1:275;12:53:9:895;12:53:18:55;12:53:26:335;12:53:34:595;12:53:42:775;12:53:51:15;12:53:59:135;12:54:7:335;12:54:16:495;12:54:24:675;12:54:32:935;12:54:41:175;12:54:49:355;12:54:57:795;12:55:5:935;12:55:14:195;12:55:22:675;12:55:30:855;12:55:39:115;12:55:47:275;12:55:55:955;12:56:4:615;12:56:12:795;12:56:21:575;12:56:29:955;12:56:38:95;12:56:46:895;12:56:55:595;12:57:3:775;12:57:12:275;12:57:20:435;12:57:28:695;12:57:36:975;12:57:45:135;12:57:53:415;12:58:1:555;12:58:9:815;12:58:25:975;12:58:34:215;12:58:42:875;12:58:51:575;12:59:0:395;12:59:8:575;12:59:16:775;12:59:25:235;12:59:33:375
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;4,8006916;4,7976184;4,7868633;4,7868633;4,7883997;4,7868633;4,7876315;4,785327;4,7807174;4,7776446;4,7868633;4,7807174;4,7714987;4,7776446;4,779949;4,779949;4,7707305;4,7745714;4,772267;4,769194;4,772267;4,766121;4,7645845;4,7714987;4,7684255;4,7707305;4,7653527;4,7653527;4,7653527;4,7638164;4,766121;4,7645845;4,773803;4,766121;4,7676573;4,7645845;4,7653527;4,7653527;4,766121;4,7707305;4,7645845;4,7645845;4,7676573;4,76228;4,772267;4,7645845;4,7699623;4,766121;4,7653527;4,766121;4,7676573;4,7645845;4,7638164;4,7676573;4,7684255;4,7653527;4,7676573;4,766121;4,766121;4,7653527;4,7822537;4,772267;4,766121;4,7653527;4,769194;4,7653527;4,766121;4,7653527;4,7653527;4,766121;4,7645845;4,7576704;4,759975;4,7584386;4,7653527;4,7576704;4,7584386;4,7714987;4,763048;4,759207;4,759207;4,7576704;4,7584386;4,7584386;4,7653527;4,7653527;4,760743;4,7584386;4,7576704;4,7576704;4,7576704;4,7576704;4,7584386;4,7584386;4,756902;4,759207;4,7576704;4,7576704;4,756134;4,759207;4,7576704;4,7522926;4,756134;4,7545977;4,753061;4,7576704;4,7584386;4,7576704;4,759207;4,76228;4,763048;4,7653527;4,759975;4,7545977;4,7538295;4,7584386;4,7576704;4,759207;4,7584386;4,7584386;4,7545977;4,7645845;4,756902;4,7584386;4,7515244;4,756134;4,7584386;4,7576704;4,756134;4,7515244;4,7538295;4,756902;4,7515244;4,756902;4,7507563;4,7484517;4,7453785;4,7484517;4,749988;4,7522926;4,7522926;4,7469153;4,7476835;4,7446103;4,749988;4,7446103;4,736928;4,739233;4,7415376;4,740001;4,7407694;4,7384644;4,7384644;4,7384644;4,73616;4,73616;4,736928;4,73616;4,73616;4,7353916;4,736928;4,736928;4,736928;4,7353916;4,7346234;4,732319;4,7353916;4,7346234;4,7353916;4,732319;4,732319;4,732319;4,7338552;4,7346234;4,733087;4,7346234;4,733087;4,733087;4,730014;4,732319;4,7284775;4,726941;4,7292457;4,730014;4,7284775;4,7292457;4,7230997;4,7254047;4,7230997;4,7238684;4,7230997;4,7254047;4,7277093;4,7254047;4,7230997;4,7246366;4,7284775;4,7292457;4,7284775;4,7254047
100000;4,7822537;4,7937775;4,785327;4,7876315;4,792241;4,785327;4,785327;4,785327;4,7822537;4,779949;4,7837906;4,7807174;4,772267;4,7776446;4,7768764;4,7807174;4,7714987;4,773803;4,773803;4,769194;4,7753396;4,766121;4,7645845;4,772267;4,7699623;4,7707305;4,7676573;4,7684255;4,7653527;4,7645845;4,766121;4,7638164;4,7714987;4,766121;4,7684255;4,7645845;4,7684255;4,7676573;4,7676573;4,773803;4,7645845;4,766121;4,766121;4,7638164;4,7684255;4,7645845;4,7699623;4,7684255;4,7653527;4,7653527;4,766121;4,7653527;4,7645845;4,769194;4,7699623;4,7653527;4,7676573;4,7684255;4,766121;4,7653527;4,778413;4,772267;4,7645845;4,7676573;4,7684255;4,7645845;4,7653527;4,7653527;4,7684255;4,7676573;4,7645845;4,759207;4,76228;4,7576704;4,763048;4,7576704;4,759207;4,7676573;4,7645845;4,760743;4,760743;4,7576704;4,7584386;4,759975;4,7653527;4,7638164;4,76228;4,759207;4,7584386;4,7576704;4,7584386;4,7584386;4,759207;4,759207;4,756902;4,760743;4,759207;4,7576704;4,756902;4,760743;4,7576704;4,756134;4,756134;4,756134;4,7538295;4,756902;4,759207;4,7584386;4,760743;4,763048;4,760743;4,7653527;4,759207;4,756902;4,756902;4,7576704;4,756134;4,759207;4,7584386;4,756902;4,756134;4,7653527;4,7576704;4,7576704;4,7515244;4,756134;4,7584386;4,756902;4,756134;4,7522926;4,7538295;4,7292457;4,7507563;4,7346234;4,7507563;4,749988;4,7469153;4,7507563;4,7476835;4,7484517;4,7522926;4,7476835;4,749988;4,743074;4,749988;4,743074;4,7384644;4,740001;4,7423058;4,743074;4,7407694;4,7407694;4,739233;4,73616;4,73616;4,736928;4,736928;4,73616;4,7353916;4,7353916;4,7384644;4,7384644;4,73616;4,7353916;4,7353916;4,732319;4,7353916;4,7353916;4,7338552;4,7338552;4,733087;4,7338552;4,73616;4,7346234;4,733087;4,73616;4,733087;4,733087;4,733087;4,730014;4,7292457;4,7254047;4,730782;4,7284775;4,730014;4,730782;4,7277093;4,7246366;4,7223315;4,726941;4,7246366;4,7246366;4,7292457;4,726941;4,7238684;4,7246366;4,7284775;4,7292457;4,726941;4,726941
200000;4,8160563;4,809142;4,7976184;4,789168;4,792241;4,7868633;4,7822537;4,7822537;4,7814856;4,7745714;4,779949;4,778413;4,7653527;4,7676573;4,766121;4,7676573;4,7545977;4,759975;4,76228;4,7484517;4,7538295;4,736928;4,736928;4,740001;4,7353916;4,740001;4,7353916;4,736928;4,7338552;4,730782;4,7292457;4,7277093;4,7284775;4,7215633;4,7238684;4,720795;4,720795;4,7177224;4,713881;4,713113;4,7154174;4,7061987;4,71004;4,7046623;4,7054305;4,700821;4,6992846;4,6939073;4,6946754;4,6931386;4,6939073;4,6954436;4,6885295;4,6854563;4,6854563;4,68392;4,68392;4,67086;4,6816154;4,6662507;4,6723967;4,67086;4,674701;4,6662507;4,6624093;4,6700916;4,657032;4,6654825;4,6654825;4,663946;4,6624093;4,6531906;4,6578;4,6516542;4,6562634;4,6432037;4,650886;4,6408987;4,6416674;4,6401305;4,638594;4,6393623;4,6401305;4,6408987;4,633985;4,637058;4,633985;4,6332164;4,624766;4,6286073;4,625534;4,620925;4,625534;4,620925;4,6239977;4,6101694;4,6232295;4,61862;4,6178517;4,6124744;4,614011;4,6117063;4,6009507;4,604024;4,6055603;4,604792;4,604024;4,6001825;4,5994143;4,604024;4,598646;4,5932684;4,598646;4,5994143;4,594805;4,598646;4,5925;4,5894275;4,5901957;4,5894275;4,5901957;4,591732;4,5863543;4,5878906;4,5832815;4,5825133;4,5802083;4,5825133;4,5832815;4,578672;4,574831;4,637058;4,575599;4,627071;4,574063;4,562539;4,568685;4,5579295;4,562539;4,5640755;4,562539;4,5602345;4,552552;4,5510154;4,5579295;4,5510154;4,5540886;4,5510154;4,5540886;4,5471745;4,542565;4,5464063;4,5410285;4,545638;4,539492;4,539492;4,536419;4,5379558;4,5248957;4,5356507;4,5295053;4,5310416;4,5295053;4,5295053;4,5302734;4,5279684;4,520286;4,5248957;4,521823;4,5279684;4,5233593;4,5233593;4,5233593;4,5141406;4,522591;4,5187497;4,5141406;4,515677;4,5126038;4,510299;4,513372;4,509531;4,5141406;4,5118356;4,5141406;4,513372;4,5056896;4,5010805;4,510299;4,506458;4,493398;4,4987755;4,499544;4,5003123;4,4957027;4,49263;4,4987755;4,4987755;4,496471;4,4949346
300000;4,861382;4,8859653;4,8805876;4,883661;4,8752103;4,879051;4,873674;4,8636866;4,8690643;4,86215;4,8706007;4,8644547;4,858309;4,8398714;4,8521633;4,8536997;4,8367987;4,842176;4,8467855;4,8367987;4,839103;4,81452;4,8175926;4,809142;4,81452;4,8229704;4,812983;4,815288;4,8099103;4,799155;4,8037643;4,80146;4,7945457;4,789168;4,7945457;4,792241;4,786095;4,785327;4,7753396;4,7714987;4,7776446;4,7684255;4,7645845;4,7684255;4,756902;4,7638164;4,7576704;4,7423058;4,743074;4,7384644;4,7423058;4,733087;4,730782;4,730782;4,7230997;4,7284775;4,7238684;4,7108083;4,7215633;4,6931386;4,7061987;4,703894;4,71004;4,6931386;4,6854563;4,7015896;4,6762376;4,6946754;4,6939073;4,6923704;4,6892977;4,680079;4,6877613;4,6754694;4,6831517;4,6685553;4,678542;4,6631775;4,6631775;4,6601048;4,6593366;4,6585684;4,6654825;4,6685553;4,6524224;4,654727;4,6593366;4,6524224;4,64474;4,650886;4,6462765;4,6470447;4,6408987;4,637058;4,6416674;4,61862;4,6401305;4,6355214;4,627839;4,6232295;4,6232295;4,621693;4,6055603;4,604792;4,6109376;4,6132426;4,6070967;4,604792;4,604024;4,6070967;4,597878;4,5878906;4,5994143;4,5871224;4,5932684;4,5925;4,5894275;4,5771356;4,584818;4,578672;4,5809765;4,575599;4,5763674;4,5771356;4,574063;4,5633073;4,5648437;4,568685;4,565612;4,5610027;4,56638;4,6593366;4,5594664;4,6424356;4,556393;4,5510154;4,552552;4,5417967;4,5417967;4,5464063;4,5417967;4,539492;4,5356507;4,542565;4,5348825;4,5310416;4,5341144;4,53181;4,5341144;4,5302734;4,5272;4,5272;4,5248957;4,525664;4,5179815;4,516445;4,5179815;4,5179815;4,506458;4,515677;4,510299;4,5118356;4,5056896;4,5056896;4,5079947;4,5110674;4,4980073;4,5010805;4,4987755;4,5010805;4,4980073;4,5003123;4,4957027;4,486484;4,493398;4,486484;4,49263;4,483411;4,4849477;4,4772654;4,4826427;4,480338;4,4818745;4,480338;4,4841795;4,4826427;4,4757285;4,473424;4,473424;4,469583;4,46651;4,463437;4,4649734;4,4688144;4,4595957;4,4595957;4,461132;4,460364;4,4642053;4,449609
400000;4,778413;4,845249;4,848322;4,8629184;4,8575406;4,8598456;4,879051;4,8575406;4,8921113;4,8921113;4,8921113;4,879051;4,8928795;4,8859653;4,897489;4,8936477;4,8890386;4,883661;4,8936477;4,895184;4,8859653;4,867528;4,871369;4,844481;4,8367987;4,8767467;4,8629184;4,865991;4,856004;4,838335;4,8467855;4,835262;4,8337255;4,815288;4,8268113;4,8175926;4,8114467;4,812983;4,778413;4,778413;4,789936;4,773803;4,7638164;4,7699623;4,7515244;4,7645845;4,7476835;4,7161856;4,7246366;4,7054305;4,7123446;4,7223315;4,6892977;4,6939073;4,680079;4,6931386;4,680079;4,6585684;4,6647143;4,615547;4,64474;4,637058;4,638594;4,614011;4,5925;4,6332164;4,5832815;4,6170835;4,6163154;4,6132426;4,614011;4,6132426;4,6070967;4,5894275;4,5925;4,5832815;4,5940366;4,5640755;4,5648437;4,5579295;4,5571613;4,5579295;4,5640755;4,5510154;4,545638;4,5510154;4,556393;4,5471745;4,5356507;4,5356507;4,536419;4,5410285;4,5341144;4,525664;4,521823;4,5003123;4,513372;4,522591;4,516445;4,5041533;4,515677;4,506458;4,4826427;4,4826427;4,502617;4,4957027;4,4826427;4,480338;4,4826427;4,4772654;4,4749603;4,4595957;4,4718876;4,4588275;4,463437;4,462669;4,462669;4,4642053;4,457291;4,4480724;4,451145;4,4457674;4,4519134;4,4457674;4,44039;4,437317;4,4411583;4,4419265;4,437317;4,438085;4,4419265;4,5901957;4,433476;4,556393;4,4350123;4,4296346;4,4304028;4,420416;4,4250255;4,420416;4,4135017;4,417343;4,4135017;4,4158063;4,4165745;4,408892;4,4127336;4,408124;4,4165745;4,4127336;4,405051;4,408892;4,4058194;4,398137;4,404283;4,405051;4,4019785;4,3989053;4,404283;4,4019785;4,3989053;4,394296;4,3935275;4,3927593;4,3935275;4,3996735;4,3927593;4,3896866;4,390455;4,3935275;4,3935275;4,38815;4,3896866;4,3950644;4,385077;4,3827724;4,385077;4,384309;4,3835406;4,3773947;4,380468;4,3773947;4,3766265;4,37509;4,3835406;4,3820043;4,3866134;4,3820043;4,3758583;4,3735538;4,387382;4,368944;4,3712487;4,367408;4,3704805;4,381236;4,3666396;4,361262;4,3666396;4,3597255
