;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Kraft in N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:31:16:405;12:31:25:375;12:31:33:815;12:31:41:875;12:31:50:155;12:31:58:415;12:32:6:875;12:32:15:35;12:32:23:275;12:32:31:875;12:32:40:35;12:32:48:275;12:32:56:455;12:33:4:715;12:33:13:315;12:33:21:535;12:33:30:275;12:33:38:855;12:33:47:35;12:33:55:395;12:34:3:555;12:34:11:815;12:34:20:475;12:34:28:615;12:34:37:355;12:34:45:715;12:34:53:875;12:35:2:175;12:35:10:275;12:35:18:515;12:35:27:255;12:35:35:395;12:35:43:715;12:35:51:895;12:36:0:75;12:36:8:455;12:36:16:635;12:36:25:355;12:36:33:915;12:36:42:15;12:36:50:275;12:36:58:955;12:37:7:195;12:37:15:675;12:37:23:855;12:37:32:595;12:37:41:235;12:37:49:395;12:37:57:775;12:38:5:955;12:38:14:175;12:38:22:995;12:38:31:175;12:38:39:395;12:38:47:935;12:38:56:555;12:39:4:815;12:39:13:555;12:39:21:515;12:39:30:255;12:39:38:375;12:39:46:635;12:39:55:175;12:40:3:315;12:40:11:595;12:40:28:495;12:40:37:35;12:40:45:175;12:40:53:495;12:41:1:895;12:41:10:115;12:41:18:335;12:41:26:535;12:41:34:475;12:41:43:695;12:41:51:895;12:42:0:155;12:42:8:475;12:42:16:635;12:42:24:995;12:42:33:135;12:42:41:315;12:42:57:735;12:43:6:555;12:43:14:795;12:43:23:55;12:43:31:955;12:43:40:115;12:43:48:355;12:43:56:755;12:44:4:895;12:44:13:715;12:44:21:915;12:44:30:135;12:44:38:855;12:44:47:15;12:44:55:355;12:45:3:635;12:45:11:815;12:45:20:635;12:45:28:815;12:45:36:975;12:45:46:175;12:45:54:315;12:46:2:555;12:46:10:935;12:46:19:55;12:46:27:855;12:46:36:35;12:46:44:275;12:46:52:935;12:47:1:135;12:47:9:355;12:47:18:215;12:47:25:635;12:47:34:355;12:47:42:535;12:47:50:735;12:47:59:215;12:48:7:395;12:48:16:175;12:48:24:235;12:48:32:395;12:48:40:955;12:48:49:75;12:48:57:375;12:49:5:795;12:49:13:975;12:49:22:195;12:49:30:315;12:49:39:15;12:49:48:325;12:49:56:475;12:50:4:785;12:50:13:595;12:50:21:815;12:50:30:155;12:50:38:835;12:50:47:15;12:50:55:515;12:51:3:655;12:51:12:495;12:51:21:55;12:51:29:235;12:51:37:575;12:51:45:755;12:51:53:955;12:52:2:895;12:52:11:115;12:52:19:855;12:52:36:35;12:52:44:795;12:52:52:935;12:53:1:275;12:53:9:895;12:53:18:55;12:53:26:335;12:53:34:595;12:53:42:775;12:53:51:15;12:53:59:135;12:54:7:335;12:54:16:495;12:54:24:675;12:54:32:935;12:54:41:175;12:54:49:355;12:54:57:795;12:55:5:935;12:55:14:195;12:55:22:675;12:55:30:855;12:55:39:115;12:55:47:275;12:55:55:955;12:56:4:615;12:56:12:795;12:56:21:575;12:56:29:955;12:56:38:95;12:56:46:895;12:56:55:595;12:57:3:775;12:57:12:275;12:57:20:435;12:57:28:695;12:57:36:975;12:57:45:135;12:57:53:415;12:58:1:555;12:58:9:815;12:58:25:975;12:58:34:215;12:58:42:875;12:58:51:575;12:59:0:395;12:59:8:575;12:59:16:775;12:59:25:235;12:59:33:375
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;4,6143894;5,218141;5,735643;5,261266;7,072522;5,735643;6,3393946;7,3743978;5,6493926;6,210019;6,166894;6,5981455;5,9081435;6,123769;6,425645;7,072522;7,417523;7,029397;7,417523;7,8056493;8,193775;7,503773;7,460648;7,9350247;7,460648;8,797527;8,625027;7,8487744;7,762524;8,495651;8,323151;7,97815;8,840652;8,323151;8,625027;7,8918996;8,2800255;7,97815;7,8918996;8,581902;8,711277;8,107525;7,719399;8,840652;9,056278;8,581902;8,366276;8,668152;8,366276;8,754402;8,538776;8,452526;9,444405;8,883778;8,883778;8,452526;8,625027;8,668152;8,840652;8,668152;8,797527;7,9350247;8,840652;8,193775;8,15065;7,6331487;8,581902;8,711277;9,616905;8,668152;9,056278;9,315029;9,358154;9,358154;9,185654;9,444405;9,401279;9,530655;8,711277;9,056278;9,9619055;9,013153;9,142529;9,48753;8,797527;7,8918996;8,883778;9,616905;8,926903;9,185654;9,228779;9,832531;9,013153;9,271904;9,616905;8,2369;9,185654;10,177531;9,789406;8,021275;9,142529;9,918781;10,048156;9,616905;9,358154;9,9619055;9,530655;9,142529;9,832531;8,366276;8,840652;7,8918996;9,228779;9,530655;9,185654;8,495651;8,2369;8,021275;9,228779;9,9619055;9,746281;7,2881474;8,711277;7,8918996;9,918781;9,358154;8,193775;8,754402;9,228779;9,616905;8,366276;8,15065;9,746281;7,676274;8,970028;8,926903;9,099403;8,581902;9,530655;8,711277;9,056278;10,565658;9,530655;10,953784;9,228779;10,651908;11,514411;11,3850355;11,298785;10,867534;10,177531;11,34191;10,565658;11,557536;11,471286;11,9456625;11,471286;11,514411;12,161287;11,643786;11,3850355;11,9456625;12,333788;10,953784;11,643786;11,126285;11,773162;11,902537;12,247538;11,600661;11,988788;11,514411;11,25566;11,428161;11,514411;11,514411;11,988788;11,902537;12,333788;11,514411;12,031913;11,126285;11,902537;11,988788;11,514411;11,34191;12,204412;11,040034;12,075038;11,212535;11,600661;10,824409;11,083159;11,298785;11,730037;11,040034;11,428161;10,608783;11,040034;11,34191
100000;0,5175016;5,3906417;5,821893;5,476892;6,8568964;5,9081435;6,2531443;7,1587725;5,476892;5,994394;6,166894;6,727521;6,425645;6,037519;6,727521;6,9000216;7,2450223;6,770646;7,201897;7,676274;7,9350247;7,8487744;7,3312726;7,97815;7,9350247;8,668152;8,2800255;7,676274;7,6331487;8,193775;8,625027;7,5468984;8,452526;8,0644;8,366276;7,719399;8,15065;7,5468984;7,5900235;8,797527;8,323151;8,2369;7,8487744;8,711277;8,668152;8,754402;8,366276;8,2800255;8,193775;8,754402;8,409401;8,409401;9,271904;8,797527;8,840652;8,409401;8,926903;9,013153;8,711277;8,625027;8,581902;7,97815;9,401279;8,538776;8,754402;7,9350247;8,754402;8,926903;9,66003;8,840652;9,228779;9,271904;9,530655;9,142529;9,228779;9,57378;9,48753;9,48753;8,668152;9,099403;9,530655;9,056278;9,444405;9,66003;8,883778;7,676274;8,970028;9,185654;9,185654;9,185654;9,228779;9,875656;8,754402;9,444405;9,7031555;7,8056493;8,883778;10,048156;9,48753;7,8487744;9,099403;9,530655;10,306907;9,48753;9,099403;9,789406;9,142529;8,797527;9,401279;8,107525;8,538776;7,8056493;9,185654;9,315029;8,797527;8,0644;7,8918996;8,0644;9,013153;9,57378;9,746281;7,029397;8,538776;7,762524;9,444405;8,668152;8,2369;8,495651;8,926903;9,358154;8,0644;3,4500108;9,57378;4,0968876;8,581902;9,013153;9,185654;8,711277;9,401279;8,625027;8,840652;10,436282;9,271904;10,651908;8,926903;10,436282;10,651908;10,651908;11,16941;10,824409;9,875656;11,25566;10,479407;11,298785;11,34191;11,816287;11,083159;11,600661;11,730037;11,34191;11,083159;12,075038;12,592539;10,608783;11,34191;11,428161;11,514411;11,816287;12,376913;11,643786;11,600661;11,600661;10,651908;11,471286;11,643786;11,040034;12,290663;11,34191;11,773162;11,600661;11,600661;11,816287;11,9456625;12,678789;10,996909;11,126285;11,600661;11,16941;11,25566;11,16941;11,9456625;11,3850355;11,083159;11,9456625;12,161287;11,126285;11,083159;11,298785;11,040034;11,730037
200000;-13,325666;-15,3094225;-15,266297;-15,525048;-15,352548;-15,136922;-15,007546;-15,223172;-15,223172;-14,662545;-15,223172;-15,266297;-15,913175;-14,70567;-15,180047;-15,352548;-15,223172;-14,878171;-15,438798;-15,395673;-15,525048;-15,783799;-15,870049;-15,395673;-14,921296;-15,438798;-15,913175;-15,740674;-15,783799;-15,783799;-15,395673;-15,740674;-15,611299;-15,740674;-15,870049;-15,697549;-15,611299;-15,783799;-15,740674;-15,525048;-15,697549;-15,999425;-16,1288;-15,999425;-15,9563;-15,9563;-15,826924;-15,654424;-15,870049;-15,826924;-16,1288;-16,04255;-15,611299;-16,085674;-16,04255;-15,568173;-15,999425;-16,3013;-16,258175;-15,525048;-15,913175;-15,740674;-15,913175;-15,697549;-15,525048;-15,826924;-15,180047;-16,085674;-15,783799;-16,258175;-15,826924;-16,171925;-15,611299;-15,9563;-15,740674;-16,4738;-16,1288;-15,9563;-16,560051;-16,1288;-16,948177;-16,430676;-16,04255;-16,171925;-15,740674;-16,38755;-16,430676;-16,38755;-16,38755;-16,603176;-16,344425;-16,258175;-15,999425;-16,171925;-16,171925;-15,438798;-16,258175;-16,258175;-16,430676;-16,21505;-16,258175;-16,344425;-15,740674;-15,783799;-16,085674;-16,560051;-17,163803;-16,21505;-16,646301;-16,646301;-16,603176;-16,818802;-16,818802;-16,905052;-16,775677;-17,379429;-16,991302;-17,336304;-16,905052;-16,603176;-17,120678;-17,336304;-16,861927;-17,206928;-16,516926;-17,163803;-17,163803;-16,905052;-17,120678;-17,034428;-17,034428;-16,560051;-17,034428;-16,646301;-17,250053;-16,905052;-16,905052;-16,775677;-17,163803;-17,293179;-17,595055;-17,163803;-17,293179;-17,293179;-17,46568;-17,63818;-17,508804;-17,077553;-17,250053;-16,991302;-17,293179;-17,206928;-17,293179;-17,422554;-17,508804;-17,120678;-16,775677;-16,861927;-16,818802;-17,120678;-17,336304;-17,508804;-17,379429;-16,991302;-16,861927;-16,516926;-17,336304;-17,120678;-17,077553;-16,991302;-17,293179;-17,293179;-16,775677;-16,516926;-16,516926;-17,077553;-16,948177;-16,861927;-17,120678;-17,163803;-16,861927;-17,206928;-17,034428;-17,077553;-16,1288;-16,171925;-16,861927;-16,689426;-16,991302;-16,818802;-16,3013;-17,336304;-16,732552;-16,646301;-17,206928;-16,646301;-16,948177;-17,206928;-16,689426;-17,293179
300000;-10,436282;-13,843168;-14,61942;-15,050672;-15,050672;-15,266297;-15,913175;-15,525048;-15,697549;-16,04255;-15,826924;-16,04255;-16,1288;-16,258175;-16,38755;-16,171925;-16,905052;-16,4738;-16,516926;-16,948177;-16,818802;-17,206928;-17,336304;-17,077553;-16,948177;-17,293179;-17,293179;-17,422554;-17,681305;-17,336304;-17,379429;-17,379429;-17,681305;-17,422554;-17,422554;-17,63818;-17,46568;-17,293179;-17,206928;-17,120678;-17,336304;-17,72443;-17,55193;-17,46568;-17,940056;-17,46568;-17,336304;-17,595055;-17,767555;-17,206928;-17,293179;-17,508804;-17,336304;-17,206928;-17,336304;-17,034428;-16,818802;-17,293179;-17,077553;-16,861927;-17,250053;-17,034428;-16,861927;-16,991302;-16,516926;-16,948177;-16,603176;-17,293179;-17,077553;-16,905052;-17,422554;-17,422554;-17,120678;-17,077553;-17,250053;-17,163803;-17,55193;-17,034428;-17,422554;-17,163803;-17,336304;-17,336304;-17,293179;-17,508804;-17,120678;-17,336304;-17,250053;-17,595055;-17,767555;-17,63818;-17,72443;-17,63818;-17,422554;-17,63818;-17,293179;-16,646301;-17,336304;-17,681305;-17,508804;-17,422554;-17,46568;-17,077553;-17,034428;-16,775677;-17,422554;-17,379429;-17,163803;-17,120678;-17,508804;-17,46568;-17,46568;-16,775677;-17,46568;-17,034428;-16,905052;-16,603176;-16,948177;-17,206928;-17,206928;-16,818802;-16,732552;-16,646301;-16,732552;-16,689426;-16,38755;-16,560051;-16,861927;-16,861927;-16,344425;-16,258175;-16,560051;-18,673183;-16,4738;-19,06131;-16,430676;-17,250053;-16,689426;-16,560051;-16,3013;-16,646301;-16,732552;-15,870049;-16,21505;-17,163803;-16,905052;-16,775677;-16,344425;-16,516926;-16,732552;-16,905052;-16,516926;-16,861927;-16,171925;-16,732552;-17,077553;-17,508804;-15,999425;-16,905052;-16,560051;-16,818802;-17,163803;-16,646301;-16,38755;-15,740674;-16,948177;-16,430676;-16,775677;-16,861927;-16,732552;-16,560051;-16,560051;-16,3013;-16,603176;-15,352548;-16,04255;-15,783799;-16,38755;-15,481923;-15,438798;-15,826924;-16,775677;-15,783799;-15,481923;-15,568173;-14,964421;-14,058794;-14,317545;-14,791921;-15,266297;-15,007546;-13,713793;-15,093797;-14,317545;-15,093797;-14,403794;-12,85129;-14,835046;-15,223172;-14,921296;-13,843168
400000;-10,048156;-10,738158;-11,471286;-11,126285;-11,730037;-11,988788;-13,411917;-12,635664;-13,670668;-16,21505;-14,490045;-14,835046;-16,21505;-18,759434;-18,112556;-17,293179;-19,966936;-19,751312;-18,97506;-19,751312;-19,32006;-22,856321;-22,166319;-21,26069;-22,942572;-22,295694;-23,115072;-22,899446;-25,185078;-24,0207;-24,063826;-24,840076;-24,883202;-25,357578;-26,478832;-25,659454;-26,090706;-25,659454;-26,651333;-26,521957;-26,220081;-26,521957;-26,435707;-26,737583;-26,392582;-26,737583;-26,608208;-26,608208;-26,737583;-26,220081;-26,521957;-26,176956;-25,745705;-26,263206;-26,263206;-25,96133;-26,176956;-25,96133;-25,70258;-25,098827;-25,831955;-25,573204;-25,573204;-24,926327;-24,667576;-25,400703;-23,93445;-25,400703;-24,926327;-25,443829;-25,443829;-25,228203;-25,185078;-25,745705;-25,918205;-25,400703;-25,831955;-24,322575;-25,357578;-24,969452;-25,271328;-25,357578;-24,753826;-25,098827;-24,279451;-25,228203;-24,753826;-25,055702;-25,055702;-24,581326;-24,3657;-24,62445;-24,840076;-24,796951;-25,055702;-22,25257;-24,969452;-24,581326;-24,710701;-24,0207;-24,62445;-23,977575;-21,045065;-23,028822;-23,330698;-23,632574;-23,373823;-22,33882;-23,287573;-23,373823;-23,632574;-21,303816;-22,942572;-23,115072;-22,33882;-22,166319;-22,468195;-21,735067;-21,346941;-21,433191;-21,691942;-20,656939;-20,355062;-20,355062;-19,535686;-20,656939;-19,535686;-19,535686;-19,23381;-19,492561;-19,535686;-32,7751;-18,500683;-31,136347;-18,328182;-18,802559;-18,112556;-15,913175;-17,983181;-17,853806;-17,336304;-15,180047;-14,53317;-16,646301;-16,603176;-16,603176;-17,379429;-16,4738;-16,732552;-16,560051;-16,948177;-16,38755;-15,568173;-16,085674;-15,826924;-16,171925;-14,101919;-15,568173;-14,446919;-15,913175;-15,654424;-15,093797;-15,093797;-14,576295;-14,878171;-14,70567;-15,050672;-14,403794;-14,1881695;-14,921296;-15,136922;-14,70567;-14,70567;-13,239416;-14,145044;-13,541292;-13,368792;-13,325666;-12,894415;-13,110041;-13,02379;-12,93754;-12,635664;-12,031913;-10,867534;-10,479407;-12,290663;-10,781283;-12,980665;-13,498167;-8,840652;-11,16941;-9,530655;-10,220656;-10,781283;-8,668152;-10,263782;-10,005031;-10,306907;-9,530655
