;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;16:37:36:58;16:37:44:668;16:37:51:968;16:37:59:668;16:38:7:868;16:38:15:528;16:38:23:328;16:38:31:28;16:38:38:748;16:38:46:468;16:38:54:188;16:39:2:408;16:39:10:48;16:39:17:828;16:39:25:968;16:39:33:728;16:39:41:528;16:39:48:788;16:39:56:928;16:40:4:688;16:40:12:938;16:40:20:688;16:40:28:388;16:40:36:488;16:40:44:128;16:40:51:988;16:40:59:688;16:41:7:538;16:41:15:168;16:41:22:908;16:41:30:928;16:41:38:628;16:41:46:868;16:41:54:548;16:42:2:308;16:42:10:8;16:42:17:728;16:42:25:868;16:42:33:608;16:42:41:348;16:42:49:8;16:42:56:768;16:43:4:508;16:43:12:228;16:43:20:518;16:43:28:248;16:43:36:28;16:43:43:728;16:43:50:988;16:43:58:668
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
0;5,1318;5,1026073;5,101839;5,091084;5,085706;5,0803285;5,0810966;5,0803285;5,0795603;5,082633;5,081865;5,0772557;5,08417;5,0749507;5,0764875;5,078792;5,0803285;5,068805;5,072646;5,081865;5,07111;5,0810966;5,0803285;5,078792;5,0772557;5,0810966;5,08417;5,075719;5,085706;5,0772557;5,0803285;5,0803285;5,081865;5,0703416;5,078792;5,078792;5,085706;5,0734143;5,0680366;5,0680366;5,065732;5,0634274;5,0672684;5,0795603;5,0864744;5,0749507;5,0764875;5,081865;5,0772557;5,0764875
100000;5,1394825;5,082633;5,082633;5,078792;5,0741825;5,08417;5,0772557;5,0772557;5,0741825;5,0772557;5,0795603;5,078792;5,0803285;5,082633;5,084938;5,0795603;5,0810966;5,0741825;5,0764875;5,0772557;5,08417;5,0803285;5,0795603;5,0795603;5,081865;5,081865;5,081865;5,0903153;5,0803285;5,088779;5,081865;5,081865;5,0872426;5,081865;5,088779;5,084938;5,091084;5,078792;5,07111;5,0680366;5,059586;5,0641956;5,0741825;5,0795603;5,0764875;5,0764875;5,0795603;5,072646;5,0803285;5,0795603
200000;5,2969704;5,235512;5,240121;5,235512;5,226293;5,2216835;5,200173;5,190954;5,1924906;5,1863446;5,18404;5,1755896;5,177126;5,1694436;5,177126;5,166371;5,1586885;5,167139;5,1517744;5,154847;5,194795;5,1563835;5,1517744;5,1632977;5,148701;5,1517744;5,1563835;5,18404;5,15792;5,1556153;5,147165;5,1494694;5,1494694;5,141787;5,141019;5,141787;5,1494694;5,141019;5,1294956;5,1287274;5,1218133;5,114131;5,1271906;5,1271906;5,1686754;5,125654;5,127959;5,125654;5,127959;5,124118
300000;5,5312815;5,5043936;5,4728956;5,4506173;5,4390936;5,436789;5,4083643;5,3976088;5,3922315;5,3868537;5,3791714;5,3684163;5,3661113;5,3507466;5,354588;5,355356;5,353051;5,3568926;5,342296;5,348442;5,3338456;5,354588;5,354588;5,3568926;5,3430643;5,3446007;5,3507466;5,3200173;5,3492103;5,3399916;5,334614;5,334614;5,3330774;5,325395;5,322322;5,3215537;5,3446007;5,338455;5,3376865;5,334614;5,3200173;5,3146396;5,313103;5,3100305;5,28852;5,300043;5,299275;5,299275;5,3031163;5,2915926
400000;5,5343547;5,518222;5,4790416;5,4613724;5,439862;5,4444714;5,4229608;5,407596;5,40145;5,3922315;5,3868537;5,383781;5,37533;5,3668795;5,3638067;5,354588;5,3568926;5,3630385;5,3507466;5,3446007;5,3146396;5,354588;5,354588;5,355356;5,345369;5,348442;5,351515;5,3038845;5,3369184;5,3446007;5,3369184;5,335382;5,331541;5,331541;5,3269315;5,317713;5,3161764;5,3169446;5,3215537;5,3092623;5,302348;5,305421;5,2985067;5,299275;5,2508764;5,2877517;5,2816057;5,2908244;5,2862153;5,2846785
