;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Kraft in N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:25:58:816;13:26:7:46;13:26:15:166;13:26:23:106;13:26:39:206;13:26:46:806;13:26:54:606;13:27:2:406;13:27:10:226;13:27:17:986;13:27:25:726;13:27:33:466;13:27:49:226;13:27:56:986;13:28:4:746;13:28:12:676;13:28:20:486;13:28:28:166;13:28:36:406;13:28:44:306;13:28:52:66;13:28:59:706;13:29:7:506;13:29:15:366;13:29:23:66;13:29:31:466;13:29:39:146;13:29:46:906;13:29:54:566;13:30:2:266;13:30:10:266;13:30:17:926;13:30:25:886;13:30:33:546;13:30:41:306;13:30:48:986;13:30:56:746;13:31:4:866;13:31:12:566;13:31:20:346;13:31:28:46;13:31:35:866;13:31:43:576;13:31:51:346;13:31:59:526;13:32:7:166;13:32:14:966;13:32:22:86;13:32:29:846;13:32:37:566;13:32:45:236;13:32:53:376;13:33:1:86;13:33:8:926;13:33:16:566;13:33:24:376;13:33:32:566;13:33:39:686;13:33:48:506;13:33:56:176;13:34:3:986;13:34:12:166;13:34:19:946;13:34:27:966;13:34:35:666;13:34:43:986;13:34:51:626;13:34:59:386;13:35:7:186;13:35:14:986;13:35:30:976;13:35:38:746;13:35:46:406;13:35:54:186;13:36:1:966;13:36:9:666;13:36:17:786;13:36:25:446;13:36:33:226;13:36:40:886;13:36:48:626;13:36:56:486;13:37:4:146;13:37:12:186;13:37:19:866;13:37:27:686;13:37:35:306;13:37:43:46;13:37:50:906;13:37:58:726;13:38:6:726;13:38:13:806;13:38:21:546;13:38:29:266;13:38:37:26;13:38:44:906;13:38:52:636;13:39:1:106;13:39:8:736;13:39:16:536;13:39:24:336;13:39:32:206;13:39:40:286;13:39:47:966;13:39:56:246;13:40:4:6;13:40:11:806;13:40:19:706;13:40:27:426;13:40:35:566;13:40:43:306;13:40:51:76;13:40:58:716;13:41:6:586;13:41:14:446;13:41:22:166;13:41:30:196;13:41:37:876;13:41:45:636;13:41:53:336;13:42:1:496;13:42:9:536;13:42:17:686;13:42:25:526;13:42:33:216
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125
0;-3,3206353;-4,7006397;-3,9675124;-2,7168834;-2,0700064;-2,7600086;-1,8975059;-1,8543807;-2,8462589;-1,5093797;-1,3368791;-0,47437647;0,3881262;-0,646877;-0,9056278;-0,2587508;-0,81937754;-0,08625027;0,56062675;0,7762524;0,9056278;-0,2587508;1,293754;0,7762524;0,56062675;0,30187595;0,0;0,646877;1,0781283;0,34500107;0,3881262;0,7762524;-0,30187595;0,646877;-0,2587508;-0,043125134;0,0;-0,47437647;-0,17250054;-0,08625027;0,1293754;0,30187595;-0,646877;0,81937754;-0,08625027;0,56062675;-0,8625027;-0,43125135;-0,043125134;-0,043125134;-0,7331273;-0,30187595;-0,08625027;0,8625027;-0,94875294;-1,4231294;-0,6037519;-0,34500107;0,1293754;-0,7762524;-0,043125134;0,08625027;-0,2587508;-0,646877;0,56062675;-0,43125135;0,56062675;-0,81937754;-1,1212535;0,21562567;-1,7250054;0,7762524;0,08625027;-0,8625027;-0,043125134;-0,17250054;0,1293754;0,1293754;-0,646877;0,2587508;-0,47437647;-0,2587508;0,30187595;-1,2075038;-1,1212535;0,9056278;-0,34500107;0,043125134;-0,6037519;1,0781283;0,17250054;-0,08625027;-1,8543807;-0,3881262;-0,3881262;-0,8625027;-0,56062675;-0,7762524;-1,1643786;-1,293754;-1,4231294;-0,6037519;0,7762524;-0,81937754;-0,56062675;-0,9918781;-0,7762524;0,0;-0,56062675;-0,9918781;0,21562567;-1,3800043;-1,1643786;-0,043125134;-0,7762524;-1,4231294;-1,0781283;-1,2075038;-0,9918781;-2,0268812;-1,8975059;-0,56062675;-1,2075038;-0,30187595;-1,3368791
100000;-3,536261;-9,48753;-9,48753;-8,495651;-9,530655;-9,099403;-9,013153;-7,460648;-7,3743978;-8,0644;-7,072522;-7,503773;-6,5981455;-7,503773;-7,676274;-2,7600086;-5,994394;-6,210019;-6,5981455;-4,3987637;-4,0106373;-3,6656363;-5,218141;-6,166894;-2,8462589;-4,78689;-6,166894;-5,175016;-5,433767;-4,226263;-6,511895;-5,9512687;-5,520017;-6,986272;-6,8568964;-4,485014;-5,0887656;-6,3393946;-6,123769;-5,9512687;-6,2531443;-5,6062675;-2,8462589;-6,770646;-5,520017;-6,037519;-4,0537624;-6,6412706;-4,78689;-6,425645;-2,0268812;-2,5443828;-6,2531443;-4,1400127;-6,727521;-2,889384;-5,433767;-6,123769;-5,8650184;-2,9325092;-6,6412706;-4,9162655;-3,536261;-5,3043914;-5,994394;-7,1587725;-5,821893;-3,9675124;-6,511895;-6,3393946;-2,3287573;-5,821893;-5,778768;-6,8137712;-5,821893;-6,6412706;-5,8650184;-4,5712643;-6,6412706;-5,5631423;-5,476892;-7,1156473;-5,3906417;-6,8568964;-6,2962694;-4,441889;-6,46877;-6,3393946;-6,3393946;-5,8650184;-5,0887656;-4,441889;-6,986272;-5,8650184;-6,425645;-5,994394;-1,940631;-4,8731403;-2,1562567;-2,1562567;-1,940631;-3,536261;-4,226263;-6,511895;-6,2962694;-4,9162655;-4,528139;-5,261266;-5,6493926;-4,226263;-5,175016;-1,7250054;-1,7681305;-6,3825197;-5,8650184;-5,261266;-1,940631;-2,242507;-2,1562567;-1,8112556;-1,9837562;-2,0268812;-5,778768;-6,2962694;-2,3287573
200000;-14,878171;-17,077553;-17,853806;-18,630058;-18,88881;-18,759434;-19,363186;-19,449436;-19,492561;-19,363186;-19,406311;-19,837563;-19,837563;-20,355062;-20,010061;-18,112556;-20,268812;-20,398188;-20,484438;-19,535686;-20,311937;-19,665062;-20,613813;-20,010061;-19,794437;-20,958815;-20,484438;-20,743189;-21,131315;-20,311937;-21,045065;-21,26069;-20,398188;-21,476316;-20,786314;-20,786314;-21,217566;-21,303816;-21,26069;-21,821318;-20,82944;-21,433191;-19,06131;-21,562567;-20,656939;-21,08819;-21,045065;-21,217566;-21,131315;-20,958815;-17,595055;-18,716309;-22,166319;-20,91569;-21,303816;-18,845684;-21,433191;-21,303816;-21,778193;-18,88881;-21,045065;-21,476316;-20,398188;-21,26069;-21,735067;-21,131315;-21,562567;-20,786314;-21,131315;-21,390066;-18,759434;-22,080069;-22,33882;-21,433191;-22,209444;-21,17444;-21,648817;-21,17444;-21,519442;-22,080069;-21,907568;-21,950693;-21,08819;-22,25257;-21,519442;-20,91569;-22,468195;-22,123194;-22,036943;-22,381945;-21,864443;-20,82944;-22,036943;-22,080069;-21,26069;-21,217566;-18,630058;-21,131315;-18,716309;-19,104435;-18,845684;-20,786314;-21,433191;-21,735067;-21,476316;-21,907568;-21,131315;-21,390066;-21,346941;-21,08819;-21,778193;-18,931934;-19,104435;-21,907568;-21,045065;-21,821318;-19,190685;-18,88881;-18,845684;-18,198807;-18,88881;-19,751312;-21,303816;-22,295694;-18,716309
300000;-17,163803;-17,55193;-18,457558;-19,14756;-19,104435;-19,018185;-19,578812;-19,794437;-19,708187;-20,139437;-20,268812;-19,880686;-20,398188;-20,398188;-20,656939;-19,794437;-20,958815;-20,743189;-20,786314;-20,91569;-20,527563;-20,441313;-20,82944;-21,045065;-21,476316;-20,958815;-20,570688;-21,08819;-20,872564;-20,570688;-21,26069;-21,00194;-20,872564;-21,08819;-21,08819;-21,476316;-21,433191;-21,346941;-21,303816;-21,476316;-20,91569;-21,519442;-19,492561;-21,519442;-20,613813;-20,743189;-21,519442;-20,872564;-21,691942;-21,26069;-18,716309;-19,492561;-21,217566;-21,131315;-21,26069;-19,794437;-21,519442;-20,700064;-21,217566;-19,880686;-20,82944;-21,433191;-21,08819;-21,735067;-21,735067;-20,786314;-21,26069;-21,648817;-20,656939;-21,519442;-19,621937;-21,562567;-21,433191;-21,08819;-21,648817;-21,131315;-21,562567;-21,691942;-21,433191;-21,303816;-21,433191;-21,433191;-21,217566;-21,17444;-21,17444;-21,17444;-21,217566;-21,778193;-21,26069;-21,346941;-21,303816;-20,958815;-21,217566;-21,346941;-20,958815;-20,700064;-19,751312;-20,958815;-19,751312;-19,535686;-19,794437;-21,131315;-21,519442;-21,045065;-20,91569;-21,519442;-21,045065;-21,08819;-20,872564;-21,08819;-21,691942;-20,268812;-19,578812;-21,476316;-20,872564;-21,217566;-20,053186;-19,751312;-19,32006;-19,23381;-19,794437;-20,139437;-21,433191;-21,476316;-19,23381
400000;-14,446919;-13,411917;-14,015669;-14,1881695;-14,101919;-14,231295;-14,446919;-14,835046;-14,61942;-14,576295;-14,964421;-15,050672;-15,093797;-15,136922;-15,352548;-16,516926;-15,352548;-14,835046;-14,878171;-15,481923;-15,266297;-15,611299;-15,136922;-14,921296;-16,04255;-15,438798;-15,093797;-15,568173;-15,395673;-15,352548;-15,438798;-15,438798;-15,180047;-15,266297;-15,180047;-16,258175;-15,9563;-15,525048;-15,352548;-15,525048;-15,180047;-15,568173;-16,3013;-15,654424;-15,223172;-15,050672;-16,3013;-14,964421;-16,085674;-15,568173;-16,905052;-16,603176;-15,438798;-15,525048;-15,525048;-17,034428;-15,870049;-14,964421;-15,395673;-16,948177;-15,007546;-15,9563;-15,740674;-16,1288;-15,826924;-14,878171;-15,697549;-16,430676;-15,136922;-15,481923;-17,120678;-15,654424;-15,654424;-15,438798;-15,697549;-15,223172;-15,481923;-15,697549;-15,395673;-15,352548;-15,783799;-15,654424;-15,395673;-15,438798;-14,878171;-15,136922;-15,266297;-15,481923;-15,3094225;-15,007546;-15,654424;-15,395673;-15,438798;-15,611299;-14,964421;-15,136922;-16,991302;-15,050672;-16,905052;-16,905052;-16,775677;-15,611299;-15,740674;-14,964421;-14,964421;-15,438798;-15,438798;-15,266297;-15,266297;-15,826924;-16,1288;-17,81068;-17,379429;-15,3094225;-14,964421;-15,481923;-17,595055;-17,206928;-17,46568;-17,508804;-17,077553;-17,46568;-15,568173;-15,352548;-17,55193
