;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E1: Kraft in N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:22:43:280;13:22:50:970;13:22:58:490;13:23:6:270;13:23:14:30;13:23:29:850;13:23:37:830;13:23:45:470;13:23:53:730;13:24:1:550;13:24:9:190;13:24:17:510;13:24:25:250;13:24:33:30;13:24:40:770;13:24:48:70;13:24:55:770;13:25:3:490;13:25:11:700;13:25:19:370;13:25:27:210;13:25:34:830;13:25:42:350;13:25:50:190;13:25:57:850;13:26:6:130;13:26:13:450;13:26:21:310;13:26:28:980;13:26:37:250;13:26:44:950;13:26:52:50;13:27:7:630;13:27:15:450;13:27:23:160;13:27:30:930;13:27:38:710;13:27:46:400;13:27:55:130;13:28:2:770;13:28:10:580;13:28:18:280;13:28:26:120;13:28:33:960;13:28:42:150;13:28:50:160;13:28:57:900;13:29:5:710;13:29:13:460;13:29:21:210;13:29:29:250;13:29:37:10;13:29:45:390;13:29:53:30;13:30:0:930;13:30:8:710;13:30:16:450;13:30:24:150;13:30:31:870;13:30:39:670;13:30:47:390;13:30:55:130;13:31:2:830;13:31:10:500;13:31:18:760;13:31:26:450;13:31:34:210;13:31:41:960;13:31:49:650;13:31:57:520;13:32:5:160;13:32:13:320;13:32:20:990;13:32:28:750;13:32:36:390;13:32:44:140;13:32:52:380;13:33:0:180;13:33:8:230;13:33:15:910;13:33:23:670;13:33:40:240;13:33:48:440;13:33:56:50;13:34:3:840;13:34:11:510;13:34:19:320;13:34:27:80;13:34:34:750;13:34:42:960;13:34:50:590;13:34:58:380;13:35:6:80;13:35:13:850;13:35:21:580;13:35:29:250;13:35:37:400;13:35:45:110;13:35:52:840;13:36:0:450;13:36:8:230;13:36:16:150;13:36:23:840;13:36:32:250;13:36:39:940;13:36:47:800;13:36:55:460;13:37:3:210;13:37:11:370;13:37:19:30;13:37:26:870;13:37:34:580;13:37:42:370;13:37:50:80;13:37:57:730;13:38:5:800;13:38:13:440;13:38:21:780;13:38:28:990;13:38:36:770;13:38:44:480;13:38:52:190;13:39:0:410;13:39:8:80;13:39:15:880;13:39:23:90;13:39:30:920;13:39:38:240;13:39:46:40;13:39:54:0;13:40:1:700;13:40:9:580;13:40:17:860;13:40:25:600;13:40:33:280;13:40:41:70;13:40:48:590;13:40:56:250;13:41:4:650;13:41:12:280;13:41:20:50;13:41:27:790;13:41:35:560;13:41:43:760;13:41:51:380;13:41:59:130;13:42:6:770;13:42:14:640;13:42:22:330;13:42:30:30;13:42:38:220;13:42:45:940;13:42:53:720;13:43:1:460;13:43:9:230;13:43:17:0;13:43:24:650;13:43:32:860;13:43:40:30;13:43:47:790;13:43:55:530;13:44:3:310;13:44:11:30;13:44:18:230;13:44:26:420;13:44:34:120;13:44:41:860;13:44:49:500;13:44:57:340;13:45:4:980;13:45:13:120;13:45:21:330;13:45:28:990;13:45:36:760;13:45:44:440;13:45:52:170;13:45:59:890;13:46:7:580;13:46:15:720;13:46:23:350;13:46:31:210;13:46:38:940;13:46:46:670;13:46:54:460;13:47:2:120;13:47:10:240;13:47:17:920;13:47:25:690;13:47:33:460;13:47:41:160;13:47:48:960;13:47:56:620;13:48:4:700;13:48:12:380;13:48:20:160;13:48:27:900;13:48:35:630;13:48:43:460;13:48:51:180;13:48:59:190
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;-58,73643;-59,081432;-59,210808;-59,167683;-58,865807;-59,210808;-59,081432;-59,038307;-58,995182;-58,995182;-58,82268;-59,253933;-59,081432;-59,29706;-58,73643;-58,90893;-59,038307;-58,82268;-58,995182;-58,779556;-58,693306;-58,82268;-59,081432;-58,693306;-59,124557;-59,038307;-59,124557;-59,253933;-58,779556;-58,779556;-59,038307;-59,210808;-58,73643;-58,995182;-58,90893;-58,693306;-58,90893;-58,82268;-58,865807;-58,90893;-59,167683;-59,38331;-59,46956;-58,952057;-58,952057;-59,38331;-59,340183;-58,865807;-59,55581;-58,693306;-58,865807;-59,124557;-59,340183;-59,038307;-58,90893;-58,865807;-58,995182;-59,038307;-58,73643;-58,952057;-59,081432;-59,124557;-58,779556;-58,952057;-58,995182;-59,253933;-59,038307;-58,865807;-58,82268;-58,90893;-58,693306;-58,995182;-58,90893;-58,90893;-59,124557;-58,865807;-58,56393;-58,607056;-59,081432;-58,865807;-58,995182;-58,952057;-58,693306;-58,65018;-58,73643;-59,253933;-58,65018;-58,865807;-58,90893;-58,90893;-59,038307;-59,46956;-59,426434;-58,952057;-58,82268;-59,29706;-59,038307;-59,081432;-58,952057;-58,90893;-58,82268;-58,73643;-59,081432;-59,124557;-58,779556;-58,56393;-58,607056;-59,124557;-59,167683;-58,995182;-58,779556;-58,865807;-59,038307;-58,90893;-58,90893;-58,607056;-58,952057;-58,952057;-58,82268;-58,779556;-58,73643;-58,65018;-59,038307;-58,779556;-58,73643;-59,038307;-58,90893;-58,693306;-58,779556;-58,56393;-58,607056;-58,865807;-58,865807;-58,90893;-58,779556;-58,865807;-58,865807;-58,952057;-58,952057;-58,865807;-58,865807;-58,65018;-59,340183;-59,38331;-58,90893;-59,167683;-59,210808;-59,55581;-59,253933;-59,167683;-58,865807;-58,865807;-59,167683;-58,82268;-58,82268;-58,995182;-59,038307;-59,038307;-59,29706;-58,995182;-59,210808;-58,865807;-58,90893;-58,90893;-58,693306;-58,693306;-58,82268;-58,865807;-58,90893;-58,65018;-58,90893;-58,90893;-58,82268;-58,995182;-58,82268;-58,779556;-59,124557;-58,693306;-58,90893;-58,995182;-58,779556;-58,865807;-58,779556;-58,90893;-58,865807;-58,520805;-58,90893;-58,82268;-58,995182;-58,995182;-58,90893;-58,65018;-58,56393;-58,73643;-58,82268;-59,081432;-59,124557;-58,90893;-58,434555;-58,865807
100000;-58,73643;-58,65018;-58,348305;-58,434555;-58,434555;-58,262054;-58,175804;-58,693306;-58,520805;-58,47768;-58,607056;-58,21893;-58,56393;-58,175804;-58,607056;-58,865807;-58,520805;-58,607056;-58,865807;-58,47768;-58,39143;-58,607056;-58,520805;-58,434555;-58,520805;-58,39143;-58,520805;-58,30518;-58,779556;-58,693306;-58,607056;-58,56393;-58,779556;-58,47768;-58,90893;-58,47768;-58,520805;-58,82268;-58,65018;-58,65018;-58,693306;-59,038307;-58,82268;-59,081432;-58,779556;-58,865807;-58,90893;-58,693306;-59,081432;-58,56393;-58,56393;-58,47768;-58,607056;-58,39143;-58,607056;-58,434555;-58,73643;-58,607056;-58,607056;-58,39143;-58,348305;-58,262054;-58,65018;-58,865807;-58,865807;-58,47768;-58,13268;-58,952057;-58,56393;-58,73643;-58,952057;-58,779556;-58,520805;-58,434555;-58,348305;-58,82268;-59,038307;-59,038307;-58,175804;-58,56393;-58,30518;-58,865807;-58,82268;-58,21893;-59,038307;-58,262054;-58,865807;-58,952057;-58,65018;-58,995182;-58,65018;-58,90893;-58,779556;-58,607056;-58,82268;-58,47768;-58,693306;-58,47768;-58,73643;-58,520805;-58,089554;-58,56393;-58,82268;-58,175804;-58,779556;-58,865807;-58,779556;-58,65018;-58,175804;-58,04643;-58,56393;-58,779556;-58,47768;-58,995182;-58,73643;-57,27018;-58,90893;-58,865807;-58,56393;-58,520805;-59,038307;-58,779556;-58,56393;-58,90893;-58,952057;-58,607056;-58,82268;-58,865807;-59,038307;-58,995182;-58,995182;-58,82268;-58,779556;-58,779556;-58,73643;-58,65018;-58,348305;-58,82268;-58,348305;-58,779556;-58,47768;-58,65018;-58,865807;-58,56393;-58,865807;-58,607056;-58,348305;-58,995182;-58,30518;-58,434555;-58,90893;-58,952057;-58,952057;-58,73643;-58,434555;-58,952057;-58,520805;-58,82268;-58,30518;-58,65018;-58,30518;-58,520805;-58,82268;-58,348305;-58,952057;-58,865807;-58,865807;-59,124557;-58,952057;-58,952057;-58,82268;-58,47768;-58,39143;-58,56393;-58,865807;-58,56393;-58,607056;-58,90893;-58,73643;-58,47768;-58,65018;-58,693306;-58,520805;-58,90893;-58,995182;-59,038307;-59,038307;-58,434555;-58,779556;-58,779556;-58,82268;-58,995182;-58,865807;-58,995182;-59,081432;-58,865807;-58,779556;-58,995182;-58,995182;-58,693306
200000;-56,01955;-58,865807;-57,744553;-59,210808;-58,65018;-58,520805;-58,952057;-58,65018;-58,47768;-58,434555;-58,65018;-58,90893;-58,089554;-58,520805;-57,96018;-58,82268;-58,21893;-58,262054;-56,01955;-58,089554;-57,830803;-58,607056;-58,21893;-57,701427;-58,65018;-58,348305;-58,175804;-57,4858;-55,976425;-56,795803;-57,528927;-57,873928;-58,30518;-57,917053;-55,243298;-57,054554;-58,262054;-55,157047;-57,701427;-57,873928;-55,890175;-54,553295;-54,467045;-55,50205;-58,47768;-55,5883;-55,50205;-57,4858;-56,1058;-58,39143;-58,262054;-58,003304;-58,520805;-58,865807;-57,873928;-58,13268;-58,39143;-58,175804;-57,917053;-57,658302;-58,13268;-57,658302;-57,572052;-55,84705;-55,9333;-57,873928;-57,4858;-56,148926;-57,96018;-56,4508;-56,01955;-55,286423;-57,917053;-57,830803;-58,262054;-56,580177;-54,639545;-57,054554;-58,089554;-58,348305;-56,92518;-55,717674;-56,2783;-58,003304;-57,227055;-57,528927;-55,113922;-54,51017;-57,917053;-55,890175;-57,658302;-54,898296;-55,157047;-57,873928;-57,140804;-57,830803;-56,321426;-57,054554;-55,7608;-57,744553;-57,701427;-57,917053;-56,235176;-57,572052;-55,803925;-54,984547;-54,639545;-57,873928;-58,56393;-56,92518;-57,701427;-55,7608;-57,658302;-55,717674;-58,47768;-60,633938;-55,545174;-56,83893;-57,27018;-57,917053;-54,898296;-57,18393;-58,47768;-56,1058;-56,2783;-57,572052;-55,5883;-55,631424;-54,94142;-56,19205;-55,9333;-55,717674;-56,19205;-54,553295;-56,235176;-57,442677;-57,96018;-58,520805;-57,399555;-55,157047;-57,787678;-57,227055;-54,68267;-56,235176;-56,235176;-57,744553;-57,18393;-55,113922;-58,56393;-57,227055;-55,5883;-56,321426;-56,493927;-55,7608;-57,442677;-55,157047;-58,04643;-55,9333;-58,089554;-56,882053;-57,4858;-57,96018;-57,701427;-57,787678;-55,458923;-55,157047;-55,50205;-55,545174;-54,725796;-55,243298;-55,329548;-56,968304;-57,313305;-56,235176;-55,4158;-58,04643;-57,140804;-53,99267;-56,062675;-57,787678;-57,140804;-55,070797;-57,787678;-55,545174;-55,070797;-56,407677;-55,329548;-57,27018;-54,812046;-55,545174;-55,4158;-54,94142;-54,725796;-55,329548;-56,2783;-55,200172;-57,744553;-56,19205;-56,01955;-57,744553
300000;-59,512684;-60,89269;-60,07331;-59,38331;-59,253933;-59,81456;-59,55581;-60,15956;-59,72831;-59,685184;-59,72831;-59,64206;-59,64206;-60,15956;-60,030186;-60,15956;-60,288937;-60,202686;-58,952057;-60,80644;-60,24581;-60,547688;-59,943935;-60,375187;-60,504562;-60,418312;-60,935814;-60,633938;-59,340183;-60,418312;-60,72019;-60,849564;-60,375187;-60,97894;-59,72831;-60,849564;-60,461437;-59,124557;-60,72019;-60,461437;-59,29706;-59,685184;-59,426434;-59,210808;-60,15956;-59,685184;-59,857685;-60,07331;-59,81456;-60,15956;-60,849564;-60,461437;-60,677063;-60,590813;-60,590813;-61,06519;-60,763313;-60,33206;-60,633938;-60,72019;-60,849564;-60,72019;-60,763313;-59,29706;-59,598934;-61,022064;-60,935814;-59,426434;-60,763313;-59,598934;-59,253933;-59,38331;-60,935814;-61,539566;-60,97894;-59,210808;-59,038307;-59,340183;-61,108315;-60,89269;-60,935814;-59,943935;-59,124557;-61,15144;-59,685184;-61,23769;-59,253933;-59,771435;-61,49644;-59,64206;-61,539566;-59,857685;-59,72831;-61,625816;-59,340183;-61,41019;-59,64206;-61,970818;-59,685184;-61,280815;-61,022064;-60,80644;-59,943935;-61,453316;-59,81456;-59,685184;-59,340183;-61,453316;-61,23769;-61,75519;-61,32394;-59,72831;-61,194565;-59,685184;-61,41019;-59,72831;-59,943935;-59,685184;-61,453316;-61,23769;-59,512684;-61,75519;-61,367065;-59,46956;-59,38331;-61,625816;-60,116436;-60,116436;-59,857685;-60,030186;-60,116436;-60,030186;-59,98706;-59,46956;-59,81456;-61,712067;-61,367065;-61,798317;-62,186443;-59,90081;-61,75519;-61,66894;-60,33206;-60,030186;-59,98706;-62,40207;-62,186443;-60,633938;-61,75519;-62,272694;-60,288937;-59,857685;-60,15956;-60,461437;-61,712067;-60,375187;-61,841442;-59,64206;-61,970818;-61,625816;-61,66894;-61,75519;-61,712067;-62,186443;-59,38331;-59,64206;-59,81456;-59,943935;-60,15956;-59,72831;-59,64206;-61,75519;-61,712067;-59,98706;-59,98706;-61,280815;-61,712067;-59,98706;-60,24581;-61,798317;-61,539566;-59,038307;-61,884567;-60,375187;-60,07331;-59,81456;-60,80644;-61,712067;-60,418312;-59,857685;-59,90081;-60,288937;-60,116436;-60,375187;-60,33206;-60,80644;-62,22957;-59,857685;-59,98706;-61,970818
400000;-60,633938;-61,841442;-62,445194;-62,48832;-62,57457;-62,531445;-62,186443;-62,14332;-62,445194;-62,100193;-62,22957;-62,100193;-62,445194;-62,22957;-62,48832;-61,884567;-61,712067;-62,14332;-60,15956;-62,22957;-61,539566;-62,100193;-62,272694;-62,22957;-62,14332;-61,841442;-61,625816;-62,013943;-60,07331;-61,927692;-62,22957;-61,970818;-62,617695;-61,75519;-60,07331;-62,617695;-62,358944;-60,15956;-62,186443;-62,57457;-60,202686;-60,375187;-60,33206;-59,771435;-62,617695;-58,952057;-59,90081;-62,876446;-59,38331;-62,272694;-62,91957;-62,272694;-62,22957;-62,272694;-61,884567;-62,876446;-63,048946;-63,09207;-62,40207;-62,66082;-62,445194;-62,186443;-62,40207;-60,504562;-59,857685;-62,186443;-62,100193;-60,418312;-62,57457;-59,771435;-60,15956;-60,633938;-62,272694;-62,57457;-62,186443;-60,677063;-60,590813;-60,288937;-62,31582;-62,013943;-62,272694;-60,24581;-60,633938;-61,798317;-60,763313;-62,445194;-60,33206;-60,590813;-62,617695;-60,633938;-62,703945;-60,590813;-60,547688;-62,40207;-61,108315;-61,841442;-60,763313;-62,14332;-61,108315;-62,66082;-62,445194;-62,790195;-60,849564;-62,74707;-60,89269;-60,72019;-60,89269;-62,962696;-62,57457;-62,962696;-62,22957;-60,97894;-63,048946;-61,49644;-62,531445;-59,38331;-60,89269;-60,849564;-62,74707;-62,617695;-61,06519;-62,703945;-62,703945;-60,935814;-61,539566;-62,962696;-61,539566;-60,935814;-60,97894;-61,06519;-61,23769;-61,15144;-61,539566;-61,367065;-61,539566;-63,135197;-63,135197;-62,703945;-62,74707;-61,539566;-63,00582;-62,445194;-61,453316;-61,453316;-61,75519;-62,531445;-63,135197;-61,712067;-62,617695;-62,272694;-61,453316;-61,712067;-61,75519;-61,367065;-63,264572;-61,280815;-62,703945;-60,849564;-62,57457;-63,221447;-63,048946;-63,048946;-63,523323;-63,09207;-61,625816;-61,884567;-62,14332;-61,841442;-61,539566;-62,100193;-61,884567;-63,437073;-63,307697;-61,453316;-61,970818;-63,048946;-63,480198;-61,712067;-61,32394;-63,609573;-63,221447;-60,763313;-63,00582;-62,100193;-61,41019;-61,841442;-61,367065;-62,876446;-61,194565;-62,14332;-61,841442;-61,66894;-62,272694;-61,75519;-62,057068;-61,841442;-63,393948;-61,75519;-62,703945;-63,480198
