;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;13:22:43:280;13:22:50:970;13:22:58:490;13:23:6:270;13:23:14:30;13:23:29:850;13:23:37:830;13:23:45:470;13:23:53:730;13:24:1:550;13:24:9:190;13:24:17:510;13:24:25:250;13:24:33:30;13:24:40:770;13:24:48:70;13:24:55:770;13:25:3:490;13:25:11:700;13:25:19:370;13:25:27:210;13:25:34:830;13:25:42:350;13:25:50:190;13:25:57:850;13:26:6:130;13:26:13:450;13:26:21:310;13:26:28:980;13:26:37:250;13:26:44:950;13:26:52:50;13:27:7:630;13:27:15:450;13:27:23:160;13:27:30:930;13:27:38:710;13:27:46:400;13:27:55:130;13:28:2:770;13:28:10:580;13:28:18:280;13:28:26:120;13:28:33:960;13:28:42:150;13:28:50:160;13:28:57:900;13:29:5:710;13:29:13:460;13:29:21:210;13:29:29:250;13:29:37:10;13:29:45:390;13:29:53:30;13:30:0:930;13:30:8:710;13:30:16:450;13:30:24:150;13:30:31:870;13:30:39:670;13:30:47:390;13:30:55:130;13:31:2:830;13:31:10:500;13:31:18:760;13:31:26:450;13:31:34:210;13:31:41:960;13:31:49:650;13:31:57:520;13:32:5:160;13:32:13:320;13:32:20:990;13:32:28:750;13:32:36:390;13:32:44:140;13:32:52:380;13:33:0:180;13:33:8:230;13:33:15:910;13:33:23:670;13:33:40:240;13:33:48:440;13:33:56:50;13:34:3:840;13:34:11:510;13:34:19:320;13:34:27:80;13:34:34:750;13:34:42:960;13:34:50:590;13:34:58:380;13:35:6:80;13:35:13:850;13:35:21:580;13:35:29:250;13:35:37:400;13:35:45:110;13:35:52:840;13:36:0:450;13:36:8:230;13:36:16:150;13:36:23:840;13:36:32:250;13:36:39:940;13:36:47:800;13:36:55:460;13:37:3:210;13:37:11:370;13:37:19:30;13:37:26:870;13:37:34:580;13:37:42:370;13:37:50:80;13:37:57:730;13:38:5:800;13:38:13:440;13:38:21:780;13:38:28:990;13:38:36:770;13:38:44:480;13:38:52:190;13:39:0:410;13:39:8:80;13:39:15:880;13:39:23:90;13:39:30:920;13:39:38:240;13:39:46:40;13:39:54:0;13:40:1:700;13:40:9:580;13:40:17:860;13:40:25:600;13:40:33:280;13:40:41:70;13:40:48:590;13:40:56:250;13:41:4:650;13:41:12:280;13:41:20:50;13:41:27:790;13:41:35:560;13:41:43:760;13:41:51:380;13:41:59:130;13:42:6:770;13:42:14:640;13:42:22:330;13:42:30:30;13:42:38:220;13:42:45:940;13:42:53:720;13:43:1:460;13:43:9:230;13:43:17:0;13:43:24:650;13:43:32:860;13:43:40:30;13:43:47:790;13:43:55:530;13:44:3:310;13:44:11:30;13:44:18:230;13:44:26:420;13:44:34:120;13:44:41:860;13:44:49:500;13:44:57:340;13:45:4:980;13:45:13:120;13:45:21:330;13:45:28:990;13:45:36:760;13:45:44:440;13:45:52:170;13:45:59:890;13:46:7:580;13:46:15:720;13:46:23:350;13:46:31:210;13:46:38:940;13:46:46:670;13:46:54:460;13:47:2:120;13:47:10:240;13:47:17:920;13:47:25:690;13:47:33:460;13:47:41:160;13:47:48:960;13:47:56:620;13:48:4:700;13:48:12:380;13:48:20:160;13:48:27:900;13:48:35:630;13:48:43:460;13:48:51:180;13:48:59:190
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
0;153,0003;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;152,9999;153,0;152,9999;153,0;153,0;153,0;153,0;153,0001;153,0;153,0001;153,0;153,0001;153,0001;152,9999;153,0;152,9999;153,0001;153,0001;152,9999;152,9999;153,0;152,9999;152,9999;153,0;153,0;152,9999;153,0;153,0;152,9999;153,0001;152,9999;152,9999;153,0001;152,9999;152,9999;152,9999;152,9999;152,9999;153,0;153,0001;153,0001;152,9999;153,0001;152,9999;152,9999;153,0001;153,0001;153,0001;153,0;153,0;152,9999;153,0;153,0;153,0001;152,9999;152,9999;153,0;152,9999;152,9999;153,0001;152,9999;153,0001;153,0001;152,9999;153,0;153,0;153,0001;153,0001;153,0;152,9999;153,0;152,9999;153,0001;153,0001;152,9999;153,0001;152,9999;152,9999;153,0001;152,9999;152,9999;153,0;153,0001;152,9999;152,9999;153,0001;152,9999;153,0001;152,9999;152,9999;153,0001;153,0;152,9999;153,0001;152,9999;153,0001;152,9999;152,9999;152,9999;153,0001;153,0;152,9999;152,9999;153,0;153,0001;153,0;153,0001;153,0;153,0;153,0001;152,9999;153,0;153,0;153,0;153,0001;153,0001;153,0;153,0001;153,0001;153,0;153,0;152,9999;153,0001;153,0001;153,0001;153,0001;153,0;152,9999;153,0001;153,0;153,0;153,0001;152,9999;153,0;152,9999;152,9999;153,0;152,9999;152,9999;153,0001;153,0;152,9999;152,9999;153,0;153,0001;153,0001;153,0001;152,9999;153,0001;152,9999;152,9999;153,0001;153,0001;153,0001;152,9999;153,0001;153,0001;152,9999;153,0;153,0001;152,9999;153,0001;153,0;153,0001;153,0;153,0;153,0001;153,0;152,9999;153,0001;153,0001;152,9999;153,0001;152,9999;153,0001;153,0001;152,9999;153,0001;153,0001;152,9999;153,0001;153,0001;153,0001;153,0001;153,0001;153,0001;153,0001;153,0001;153,0
100000;154,3528;155,3375;155,6266;155,6282;155,6264;155,4805;155,6239;155,6244;155,6252;155,6227;155,6233;155,6216;155,6203;155,6179;155,4709;155,6159;155,6207;155,6192;154,3289;155,6171;155,6184;155,6186;155,6163;155,6177;155,618;155,6194;155,6166;155,4709;154,2179;155,4683;155,6171;155,6149;155,6138;155,4683;154,3291;155,6125;155,6163;154,328;155,6144;155,6157;154,3249;154,3258;154,3248;154,3304;155,4827;154,1153;154,3333;155,4805;154,3289;155,6252;155,622;155,6236;155,6217;155,6197;155,6216;155,6179;155,6167;155,6169;155,6155;155,6202;155,6185;155,6163;155,6165;154,3283;154,3293;155,6158;155,6161;154,3285;155,6189;154,3269;154,3287;154,3299;155,6173;155,6123;155,6172;154,328;154,3296;154,3317;155,619;155,6166;155,6158;154,3296;154,3291;155,6178;154,3293;155,6169;154,3301;154,3299;155,619;154,3322;155,3306;154,3275;154,3261;155,6191;154,3303;155,4719;154,3271;155,4729;154,3314;155,6171;155,6211;155,6181;154,3298;155,6161;154,3303;154,3317;154,3311;155,6181;155,618;155,6186;155,6197;154,2236;155,6173;154,3324;155,4728;157,2971;154,331;154,2258;155,6176;155,6194;154,333;155,6186;155,6214;154,2236;154,224;155,6185;154,3317;154,3304;154,2255;154,3312;154,332;154,3316;154,3315;154,2231;154,3309;155,6195;155,6176;155,619;155,6187;154,3318;155,4726;155,6158;154,3296;154,3278;154,3309;155,6193;155,3284;154,3293;155,6196;155,6177;154,331;154,3313;154,3322;154,3295;155,6182;154,3322;155,6174;154,1189;155,6172;155,4701;155,6169;155,6192;155,4713;155,616;154,3321;154,3306;154,3329;154,3311;154,3323;154,3311;154,3299;155,6189;155,619;154,3324;154,3328;155,6174;155,329;154,3325;154,3309;155,6173;155,6177;154,1193;155,6186;154,3319;154,3309;154,333;154,3314;155,6165;154,3308;154,3324;154,2239;154,3317;154,3318;154,3317;154,3329;154,3325;155,6199;154,3328;154,3316;155,6165
200000;185,0259;189,179;190,2615;190,2621;190,2605;189,7174;190,2602;190,2596;190,2585;190,2593;190,2596;190,2588;190,256;190,2569;189,7132;190,2571;190,2595;190,2576;185,0139;190,2565;190,2552;190,2583;190,2569;190,2575;190,2576;190,2564;190,2584;189,7147;184,5127;189,7102;190,2532;190,2565;190,2554;189,7134;185,0141;190,254;190,2578;185,0156;190,2556;190,2538;185,0142;185,0149;185,0162;185,018;189,7186;184,0202;185,0201;189,7184;185,0167;190,2605;190,2599;190,2594;190,2576;190,2577;190,2568;190,2552;190,2572;190,2552;190,2546;190,2578;190,2583;190,2554;190,2566;185,0149;185,0134;190,2546;190,2537;185,0151;190,2555;185,0158;185,0177;185,0143;190,2578;190,2574;190,2562;185,0137;185,0158;185,0154;190,2546;190,2565;190,2564;185,0177;185,0162;190,2565;185,0146;190,2546;185,016;185,0134;190,2551;185,0159;189,1729;185,0169;185,0164;190,2565;185,0158;189,7149;185,0119;189,713;185,0132;190,2526;190,2562;190,2567;185,0146;190,2546;185,0145;185,0151;185,0139;190,2557;190,2535;190,2515;190,2581;184,5146;190,2572;185,0147;189,7143;195,9111;185,014;184,5134;190,2565;190,2555;185,0169;190,2557;190,2561;184,5173;184,5152;190,2579;185,0129;185,0155;184,5127;185,0154;185,015;185,0168;185,0161;184,5145;185,0154;190,2546;190,2552;190,2542;190,2524;185,0146;189,7112;190,2557;185,0178;185,0177;185,0144;190,255;189,1727;185,0139;190,2542;190,2554;185,013;185,0164;185,0148;185,0128;190,2557;185,0122;190,2519;184,0145;190,2549;189,7132;190,2538;190,2562;189,7132;190,2576;185,0131;185,0142;185,0134;185,0182;185,0136;185,0174;185,0156;190,2549;190,2562;185,0145;185,0136;190,2546;189,1708;185,0142;185,0142;190,2543;190,2543;184,0171;190,2575;185,0166;185,0132;185,0135;185,0139;190,2517;185,0135;185,0172;184,5137;185,0157;185,0133;185,0118;185,0148;185,0119;190,2541;185,0153;185,0157;190,2529
300000;243,3999;248,167;249,3618;249,3616;249,3586;248,7644;249,3604;249,3597;249,3587;249,3599;249,3585;249,361;249,3582;249,3617;248,7609;249,3609;249,3622;249,3605;243,3899;249,3607;249,3611;249,3617;249,3633;249,3591;249,3602;249,3595;249,3634;248,766;242,7898;248,7639;249,3616;249,3621;249,3619;248,7639;243,3854;249,3608;249,3597;243,3855;249,3607;249,3595;243,3871;243,3847;243,3862;243,3878;248,7635;242,1994;243,3875;248,7624;243,3907;249,3589;249,3631;249,3615;249,3632;249,3623;249,3621;249,3623;249,3612;249,3603;249,3609;249,3607;249,3612;249,3589;249,3585;243,3856;243,3855;249,3618;249,3629;243,3857;249,3611;243,3873;243,3845;243,3855;249,3619;249,3596;249,3613;243,3869;243,3836;243,3859;249,3609;249,3623;249,3618;243,3874;243,3844;249,3592;243,3867;249,3598;243,3835;243,3845;249,3616;243,3843;248,1644;243,3865;243,385;249,3619;243,3889;248,7637;243,3866;248,7662;243,3847;249,3618;249,3618;249,3613;243,387;249,3631;243,3849;243,3847;243,3826;249,3627;249,3616;249,3612;249,3583;242,7902;249,3605;243,386;248,7635;255,3338;243,3854;242,7902;249,3628;249,3604;243,3809;249,3607;249,3597;242,7869;242,7871;249,362;243,3835;243,3847;242,7856;243,3839;243,3842;243,387;243,3873;242,7874;243,3862;249,3601;249,3621;249,3623;249,362;243,3834;248,763;249,3595;243,3839;243,3889;243,3841;249,3638;248,1683;243,3851;249,3625;249,3615;243,3818;243,3839;243,3883;243,3853;249,36;243,3844;249,3606;242,1913;249,3616;248,7625;249,3611;249,3614;248,7623;249,3615;243,3812;243,3836;243,3827;243,3821;243,3827;243,3821;243,3805;249,3599;249,3597;243,3853;243,3832;249,3609;248,1638;243,3802;243,3841;249,3599;249,3602;242,1907;249,3609;243,3834;243,3862;243,3846;243,3869;249,3602;243,3844;243,3847;242,7873;243,3818;243,3805;243,3818;243,3835;243,3849;249,3607;243,3839;243,3828;249,3598
400000;299,2976;302,5412;303,314;303,3153;303,3157;302,9312;303,3157;303,3166;303,3172;303,3173;303,3172;303,3188;303,3188;303,3189;302,9366;303,3209;303,3193;303,3196;299,2959;303,3207;303,3211;303,3212;303,3211;303,3218;303,3208;303,321;303,3217;302,9361;298,8723;302,9379;303,3232;303,3207;303,3219;302,9369;299,2953;303,3221;303,3219;299,2975;303,3228;303,3241;299,2959;299,2967;299,2974;299,294;302,9324;298,4382;299,2927;302,9351;299,2945;303,3199;303,3194;303,3205;303,3199;303,3197;303,3212;303,3221;303,3213;303,3221;303,3222;303,3219;303,3217;303,3225;303,3225;299,2969;299,2964;303,322;303,3226;299,2963;303,3226;299,2959;299,2966;299,298;303,3218;303,3224;303,3229;299,2968;299,2974;299,2976;303,3222;303,3228;303,3221;299,2953;299,2978;303,3228;299,2974;303,3238;299,297;299,2971;303,3234;299,2963;302,5507;299,2969;299,298;303,3224;299,2976;302,9388;299,2982;302,9403;299,2979;303,323;303,3229;303,3239;299,2968;303,3239;299,2972;299,2976;299,2984;303,3232;303,3232;303,3231;303,3231;298,8707;303,3225;299,2978;302,9387;306,9392;299,2974;298,8712;303,3234;303,3227;299,2969;303,3242;303,3211;298,8725;298,8715;303,3222;299,2989;299,2978;298,8729;299,2966;299,2983;299,2967;299,2974;298,8717;299,2976;303,3243;303,3237;303,3234;303,3248;299,2965;302,9393;303,3237;299,2989;299,2982;299,2986;303,3222;302,5518;299,2982;303,3223;303,3226;299,2975;299,2986;299,2976;299,2981;303,3242;299,2977;303,3235;298,4425;303,3229;302,9397;303,3239;303,3233;302,9398;303,3242;299,2998;299,2984;299,2998;299,2974;299,2981;299,2982;299,2986;303,3256;303,3255;299,2985;299,2983;303,3249;302,5543;299,2987;299,2983;303,3247;303,3261;298,4414;303,3248;299,2992;299,2971;299,2969;299,2969;303,3259;299,2982;299,2979;298,8717;299,2987;299,2995;299,2991;299,2982;299,2985;303,3263;299,2963;299,2986;303,3253
